run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status
281797,937,1487271527,15.5611,1.78476,75.8957,-0.368107,0.339214,-60.3347,10,2,2,223.74,364.113,142.501,81.2388,0,2,2,47.6125,3,0,0,0.556174,21,1747,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
281797,937,1487976413,60.9275,0.919942,151.913,0.766816,0.549718,-90.9858,8,3,2,276.348,349.279,183.317,54.9812,0,1,1,151.997,2,0,0,0.55902,15,1442,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,937,1487546009,51.1935,2.2643,198.853,-2.86196,0.721565,-147.659,5,3,2,275.586,309.992,123.751,119.954,0,0,0,0,0,0,0,0.256441,24,1744,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,937,1488111317,200.167,-1.49418,251.249,-1.68521,0.215055,-51.0825,6,2,2,1168.3,1234.04,706.484,461.82,2,0,2,26.11,3,0,0,0.705392,18,1608,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
281797,937,1488015548,108.266,-0.0619982,56.9344,0.430201,0.233691,51.3317,8,3,3,243.631,324.739,91.9481,90.9351,0,0,0,0,1,0,0,0.571296,28,1885,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
281797,937,1488926001,24.8601,-2.80665,245.16,-2.62079,0.508648,-220.3,8,4,4,481.984,576.716,140.12,118.801,1,2,3,130.857,1,1,0,0.868051,14,1690,4,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,937,1487919181,23.2989,0.834771,99.8169,-0.953909,0.188215,-76.518,10,6,5,530.334,625.92,124.947,113.47,0,3,3,54.2476,1,0,0,0.714713,18,1683,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
281797,937,1487433878,17.8897,-1.87305,186.165,-0.354037,0.624581,-168.276,7,3,2,298.064,364.544,139.104,123.335,0,0,0,0,1,0,0,0.647862,20,1857,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,937,1487731720,81.3782,1.10655,148.222,0.822002,0.26574,-66.8443,12,6,4,557.773,672.881,258.873,106.253,0,1,1,12.22,0,0,0,0.381619,17,1396,6,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,937,1488879861,44.5184,-2.05282,145.752,-2.04204,0.515838,-101.233,7,4,2,282.553,325.831,142.449,58.7301,0,0,0,0,0,0,0,0.53601,24,1769,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,937,1488452665,81.529,-2.9571,277.925,2.48477,0.961346,-196.396,8,2,2,289.1,367.069,235.698,53.4025,1,2,3,58.5395,0,0,0,0.535742,18,1476,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,937,1487379276,106.641,-1.78567,86.4833,-1.69735,0.182533,20.1575,11,5,3,473.795,549.199,247.685,69.4415,0,0,0,0,1,0,0,0.552378,20,1649,4,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
281797,937,1488853873,115.564,-2.95451,125.707,-3.08639,0.202572,-10.1433,13,5,4,620.554,739.7,245.064,163.725,0,0,0,0,2,1,0,0.89718,16,1547,5,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,937,1488015249,15.202,2.33657,164.495,2.40807,0.577364,-149.293,8,3,3,284.906,350.048,149.474,70.7595,0,0,0,0,0,0,0,0.528531,21,1597,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,937,1488643632,113.525,-2.11279,46.9274,-2.42739,0.093924,66.5978,12,5,4,499.631,603.431,185.559,137.863,1,1,2,109.17,1,1,0,0.926601,28,1733,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
281797,937,1488860635,41.8681,3.13756,206.623,0.764845,0.995824,-164.755,6,2,1,207.49,281.379,174.843,32.6472,0,1,1,12.4706,1,0,0,0.816881,21,1275,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,937,1487774053,75.9447,0.679903,188.001,1.33942,0.580978,-112.056,8,4,3,323.594,376.642,123.031,89.3156,0,0,0,0,0,0,0,0.318231,21,1740,5,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
