run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
279975,93,65680892,47.7558,2.09031,65.8428,2.66322,0.985682,-18.087,7,2,0,66.7992,141.668,33.8896,32.9096,1,0,1,13.1536,0,0,0,0.540655,34,2067,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
279975,93,65534592,39.4009,1.21496,0,0,0,39.4009,8,0,0,0,127.124,28.371,16.04,0,0,0,0,2,0,0,0.841927,32,1975,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
279975,93,65589882,70.5395,3.07549,112.353,2.11741,0.433822,-41.8138,10,3,2,258.985,375.107,136.826,72.7425,1,0,1,48.0623,4,0,0,0.823872,34,2235,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
279975,93,66677946,90.92,2.0871,76.603,2.62067,0.260785,14.317,7,2,2,293.74,361.388,184.4,109.34,0,0,0,0,4,0,0,0.735193,28,2048,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
279975,93,66181440,164.762,1.76879,129.261,2.05366,1,35.5015,10,1,1,129.261,252.503,129.261,19.9424,0,0,0,0,5,1,0,0.862053,29,2354,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
279975,93,66463105,33.6091,-1.07221,0,0,0,33.6091,14,0,0,0,248.883,27.0458,23.8758,0,0,0,0,3,0,0,0.795286,31,2361,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
279975,93,65361210,73.9955,0.169977,0,0,0,73.9955,4,0,0,0,62.8365,24.8171,14.3363,0,0,0,0,1,0,0,0.552415,24,1632,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
279975,93,66609409,103.059,-2.81429,51.0253,2.59688,0.435559,52.0339,11,2,1,117.149,263.715,75.74,41.4089,0,0,0,0,7,0,0,0.834211,42,2622,5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
279975,93,65343360,85.8715,-1.68155,87.8654,-2.54856,0.564159,-1.99393,10,2,1,155.746,297.872,118.426,37.3197,1,0,1,11.1723,2,1,0,0.898759,30,2122,3,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
279975,93,65806462,70.6197,0.457986,75.0629,1.19947,0.614039,-4.4432,13,2,1,122.245,297.305,90.2124,32.0322,0,0,0,0,5,0,0,0.753897,38,2174,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
279975,93,65436672,93.396,2.55799,49.5913,2.87762,1,43.8047,8,1,0,49.5913,134.561,49.5913,16.9916,0,0,0,0,2,0,0,0.564513,32,2319,0,1,1,1,1,1,1,0,0,-1,1,1,1,1,1,1,1,0
