run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
1,37831,44488172,108.047,-2.47465,105.762,-2.24355,0.0398228,2.28472,3,2,2,2655.82,2670.92,1380.62,1275.19,0,0,0,0,0,0,0,0.221519,19,1333,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488183,57.5433,-0.329545,96.1547,-0.642791,0.0447341,-38.6114,8,5,5,2149.47,2190.54,976.596,785.841,0,0,0,0,0,0,0,0.400656,15,1509,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488313,45.5517,2.29033,63.3778,2.099,0.0269796,-17.8261,6,5,4,2349.1,2359.93,1068.06,1035.58,1,1,2,38.6338,0,0,0,0.149913,22,1261,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488107,16.0858,0.877473,24.4844,2.78544,0.0117936,-8.39866,12,6,5,2076.08,2180.16,908.28,824.021,2,0,2,97.6942,3,1,0,0.862354,17,1469,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488105,64.3897,3.05077,54.9487,-2.99494,0.017883,9.44104,7,6,5,3072.68,3084.26,1130.84,881.897,0,1,1,13.6963,0,0,0,0.322171,16,1359,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488241,27.4058,1.486,53.065,1.67585,0.0252439,-25.6592,5,2,2,2102.09,2148.04,1075.08,1027.01,0,1,1,809.021,1,0,0,0.809784,19,1572,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,37831,44488273,27.6562,-1.67124,34.6973,0.235872,0.0167577,-7.04109,5,4,3,2070.52,2081.04,987.672,913.771,4,0,4,388.475,1,0,0,0.723143,12,1137,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488084,168.157,1.9248,189.604,2.01574,0.0867536,-21.4468,11,3,3,2185.54,2311.15,965.985,653.505,4,0,4,263.931,1,1,0,0.919097,19,1396,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488239,70.1139,1.17894,79.8027,1.20518,0.038055,-9.68882,3,3,3,2097.04,2097.04,1006.74,839.326,2,0,2,29.5965,1,1,0,0.883174,11,1430,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488244,173.924,-0.219838,216.373,-0.168096,0.0855668,-42.4486,9,4,3,2528.7,2601.64,1306.76,1102.92,0,0,0,0,0,0,0,0.529466,10,1437,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488341,83.0347,2.92199,91.7003,2.70755,0.0426938,-8.66556,4,2,2,2147.86,2193.55,1114.97,1032.89,0,0,0,0,1,1,0,0.933311,9,634,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488271,69.4213,-1.39962,61.6101,-0.651012,0.0233976,7.81125,8,5,5,2633.18,2675.61,1109.53,1082.91,1,1,2,36.4651,0,0,0,0.487242,19,1781,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488283,96.9797,1.89024,98.4863,2.33711,0.0377922,-1.50654,8,2,2,2605.99,2713.83,1350.17,1255.82,16,0,16,1181.54,3,1,0,0.916436,16,1680,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488371,145.566,-0.240514,178.203,-0.0177176,0.0663074,-32.6363,12,3,3,2687.52,2822.29,1231.6,1173.76,0,1,1,15.4798,2,0,0,0.643169,12,1610,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488419,9.94243,-2.36664,7.69856,1.26173,0.00280804,2.24387,9,6,6,2741.61,2781.05,1290.33,959.443,0,0,0,0,2,0,0,0.682605,25,1672,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488398,175.955,0.53361,161.732,0.536024,0.0633399,14.223,7,5,3,2553.4,2583.01,1141.58,1079.93,3,0,3,124.763,2,1,0,0.861649,23,1787,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488238,17.3825,-0.601878,43.7111,-0.18231,0.0202537,-26.3285,9,5,4,2158.18,2205.62,776.435,675.641,0,0,0,0,2,1,1,0.961783,20,1939,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488431,32.2312,-2.27903,154.77,-2.04887,0.0767273,-122.539,6,3,3,2017.15,2063.49,932.38,914.293,1,1,2,56.6656,2,1,0,0.858233,17,1639,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488135,8.79377,-2.95807,33.9004,2.9927,0.0178505,-25.1066,10,3,3,1899.13,1990.75,897.175,893.129,2,0,2,144.282,3,0,0,0.779259,33,2136,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488475,55.24,-2.24408,40.7813,-2.64307,0.0163144,14.4587,9,4,4,2499.71,2574.14,1249.04,1038.11,3,0,3,80.2578,0,0,0,0.533726,18,1667,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488511,37.7632,-1.63597,32.1032,-2.4423,0.0157955,5.65992,8,3,3,2032.42,2120.49,1002.21,965.157,1,0,1,11.9565,1,0,0,0.577011,10,1335,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488492,137.115,3.11878,153.068,2.5355,0.0826368,-15.9528,9,5,5,1852.3,1916.49,843.381,711.216,4,1,5,186.513,3,2,0,0.914466,20,1735,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488387,92.1384,2.30774,79.8044,1.96104,0.0319604,12.334,15,4,3,2496.98,2642.64,1220.72,1181.45,1,1,2,42.641,3,0,0,0.820523,26,2228,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488600,32.6301,-2.89489,40.8727,-3.12974,0.0199031,-8.24259,7,5,4,2053.58,2075.18,1014.02,756.642,3,0,3,127.822,1,0,0,0.56795,18,1399,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,37831,44488356,93.5391,2.74605,16.1009,-2.90642,0.00701092,77.4382,7,4,3,2296.55,2349.13,1094.15,1090.92,6,0,6,110.789,2,0,0,0.726673,18,1754,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
