run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status,MET_fraction,N_objects,S_event_proxy,high_MET,high_multiplicity,B_event,B_event_z
1,6136,4552174,43.173,1.41595,117.926,2.65795,0.241707,-74.7534,11,6,4,487.889,567.13,191.013,101.756,0,0,0,0.0,4,2,2,0.992569,11,1068,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9897,1,0.08114279914746778,6,2.1972245773362196,0,1,-0.9294760959177593,-0.3293053190753047
1,6136,4552177,17.5397,-0.9852770000000001,58.2509,0.971131,0.100736,-40.7112,13,8,5,578.251,666.666,178.33700000000002,93.6253,1,0,1,28.5507,5,3,2,0.995501,16,1411,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9897,1,0.02939003573614669,9,2.5649493574615367,0,1,3.3257260710993872,0.5943534948167937
1,6136,4552172,74.6002,0.6450859999999999,263.134,-1.0557299999999998,0.226571,-188.53400000000002,13,9,9,1161.37,1242.67,215.774,198.813,2,1,3,147.678,2,1,1,0.9552129999999999,11,964,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9897,1,0.060308809379563066,12,2.639057329615259,0,1,9.775640212272087,1.9944091940546067
1,6136,4552183,100.514,0.267171,43.7273,0.664716,0.07619010000000001,56.7868,9,7,5,573.923,610.025,174.033,100.60700000000001,0,1,1,10.4443,3,2,1,0.976984,21,1483,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9897,1,0.14881328680543116,8,2.3978952727983707,0,1,3.947740710445689,0.7293715930062071
1,6136,4552179,105.975,0.43218999999999996,133.132,0.710396,0.312585,-27.1566,13,7,3,425.907,523.497,120.47399999999999,101.32600000000001,0,1,1,13.0432,5,2,2,0.974872,20,1789,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9897,1,0.1988714199391235,8,2.3978952727983707,0,1,2.7772547104013006,0.4752991264008972
1,6136,4552176,59.9772,-2.20433,27.3692,-2.5469,0.0692184,32.608000000000004,13,6,3,395.403,495.592,104.73700000000001,104.211,1,1,2,23.6524,3,2,1,0.99911,19,1743,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9897,1,0.13141937358369185,8,2.3978952727983707,0,1,1.2154357355023513,0.1362816590168327
1,6136,4552178,46.9751,-1.3130000000000002,97.6391,-0.649261,0.251307,-50.663999999999994,15,6,4,388.524,538.258,98.4901,91.3074,1,1,2,30.0928,3,1,1,0.9910370000000001,23,1974,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9897,1,0.10761786221323251,8,2.302585092994046,0,1,-0.03757781638604518,-0.1357047157079332
1,6136,4552171,63.8773,-1.4288100000000001,43.9743,-0.0630467,0.0848319,19.903,10,5,4,518.37,609.129,202.30700000000002,164.609,1,0,1,18.0095,1,0,0,0.84385,28,2218,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.9897,1,0.1095200955066573,6,1.9459101490553132,0,0,-3.9226573425998312,-0.9790225667078528
1,6136,4552185,17.4854,-0.7861630000000001,56.82,-0.569919,0.0972227,-39.3347,11,6,3,584.432,661.612,215.019,193.085,0,0,0,0.0,2,1,1,0.995848,6,938,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9897,1,0.029001319252023573,6,2.0794415416798357,0,1,-3.7464672566377297,-0.9407777267609461
1,6136,4552194,42.2853,-0.672555,49.0644,0.7067,0.11938299999999999,-6.77907,7,5,5,410.98199999999997,454.17,95.3942,90.5101,0,2,2,67.7789,3,2,2,0.9947010000000001,11,642,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.9897,1,0.09308462220371135,7,2.302585092994046,0,0,-0.13661337249699135,-0.15720194679124597
