run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
1,27391,67790279,44.1213,-0.330704,0,0,0,44.1213,1,0,0,0,10.3148,10.3148,0,0,0,0,0,0,0,0,0.168378,17,1466,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,120063,1
1,27391,67790284,67.1167,2.58222,0,0,0,67.1167,1,0,0,0,24.6709,24.6709,0,0,0,0,0,0,0,0,0.171578,8,737,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,120063,1
1,27391,67790265,44.1325,-0.13894,31.6422,-0.221976,1,12.4903,1,1,0,31.6422,31.6422,31.6422,0,0,1,1,29.5208,0,0,0,-10,15,979,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,120063,1
1,27391,67790274,12.8187,-2.01705,0,0,0,12.8187,2,0,0,0,48.3777,27.8125,20.5653,0,1,1,21.2162,0,0,0,0.162763,14,858,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,120063,1
1,27391,67790255,17.3696,2.80409,0,0,0,17.3696,7,0,0,0,86.9886,16.348,14.7485,1,1,2,28.2584,0,0,0,0.528846,11,1342,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,120063,1
1,27391,67790280,69.3091,-1.73221,33.8776,-2.0346,1,35.4315,2,1,0,33.8776,53.314,33.8776,19.4364,0,1,1,25.0606,0,0,0,0.204637,13,713,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,120063,1
1,27391,67790259,16.5867,0.0282185,0,0,0,16.5867,2,0,0,0,29.6447,15.44,14.2047,1,0,1,14.8495,0,0,0,0.448239,23,1421,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,120063,1
1,27391,67790263,66.8821,-2.47764,31.9482,-2.34186,1,34.9339,4,1,0,31.9482,74.4714,31.9482,18.7465,0,1,1,19.4064,1,0,0,0.556333,11,1331,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,120063,1
1,27391,67790293,28.6727,0.419539,32.6658,1.58357,1,-3.99316,5,1,0,32.6658,80.2899,32.6658,14.1406,0,0,0,0,1,0,0,0.755611,13,1123,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,120063,1
1,27391,67790292,113.298,2.45177,66.5623,2.79985,1,46.7355,2,1,1,66.5623,77.0971,66.5623,10.5348,0,1,1,62.6671,0,0,0,0.477798,22,1408,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,120063,1
