run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status,MET_fraction,N_objects,S_event_proxy,high_MET,high_multiplicity,B_event,B_event_z
1,5047,5046013,33.3217,-0.09764600000000001,36.0093,-1.3856,1.0,-2.68759,2,1,0,36.0093,54.8673,36.0093,18.858,0,0,0,0.0,1,0,0,0.551316,23,1318,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.4737839643969231,1,0.6931471805599453,0,0,-4.344934988418786,-1.0724842845566436
1,5047,5046019,26.6361,2.83465,0.0,0.0,0.0,26.6361,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,-999.0,10,888,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.9638154442920672,0,0.0,0,0,-5.118620213241401,-1.2630683558008438
1,5047,5046006,11.0969,-2.2796,106.60600000000001,2.5497900000000002,0.999339,-95.5091,4,2,1,106.677,130.96,61.927,44.7496,0,0,0,0.0,2,0,0,0.793521,21,1239,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.09342877517703804,2,1.0986122886681096,0,0,-3.2450010355176304,-0.8015344407210048
1,5047,5046018,38.9171,-0.0110625,18.1224,-1.80115,0.07636749999999999,20.7948,6,4,2,237.305,261.494,88.5787,81.9098,0,0,0,0.0,0,0,0,0.43338999999999994,17,1387,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.14038238654133273,4,1.6094379124341003,0,0,2.2976597750183405,0.5638048845062728
1,5047,5046017,25.8481,-2.9508900000000002,9.47145,2.52901,0.11653,16.3767,3,2,0,81.2793,92.4146,45.1083,36.171,0,0,0,0.0,1,0,0,0.791432,12,827,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.2390522661231103,2,1.0986122886681096,0,0,-3.4872708672795603,-0.8612134540916198
1,5047,5046010,85.6534,0.381242,87.1076,0.469659,0.21432199999999998,-1.45421,6,4,2,406.43199999999996,431.579,203.292,112.78,1,0,1,17.965,0,0,0,0.377498,23,1340,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.17370905729514607,5,1.791759469228055,0,0,6.740400921785509,1.6581978857803277
1,5047,5046012,58.4735,-0.23813800000000002,43.4092,-0.522778,1.0,15.0642,4,1,0,43.4092,80.5688,43.4092,14.4756,0,0,0,0.0,0,0,0,0.531542,13,1379,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.5683511416399453,1,0.6931471805599453,0,0,-3.238139918240307,-0.7998443222825972
1,5047,5046020,66.6439,2.67676,40.9779,-1.7923099999999998,0.257778,25.666,6,3,1,158.966,218.088,86.887,40.6209,0,1,1,13.4473,0,0,0,0.333065,23,1380,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2940908583429056,4,1.6094379124341003,0,0,2.4821581690187076,0.6092528960986723
1,5047,5046024,31.4994,2.47864,102.789,2.92663,1.0,-71.2894,6,1,1,102.789,193.09599999999998,102.789,26.9821,0,0,0,0.0,0,0,0,0.5078550000000001,19,1264,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.23283149183522017,1,0.6931471805599453,0,0,-3.745309408272942,-0.9247768182384629
1,5047,5046008,20.8834,0.8406389999999999,31.7381,-2.97784,1.0,-10.8547,6,1,0,31.7381,104.97,31.7381,23.5598,0,0,0,0.0,1,0,0,0.593071,20,1793,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3894594518989585,1,0.6931471805599453,0,0,-5.034277185485747,-1.2422918990520146
