run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
1,14,102404,77.7212,3.10483,72.1864,-3.09767,1,5.53473,2,1,1,72.1864,82.2857,72.1864,10.0993,0,0,0,0,0,0,0,0.145677,10,748,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102420,45.0351,1.95156,50.0758,1.35603,1,-5.04068,3,1,1,50.0758,93.522,50.0758,28.5823,0,0,0,0,0,0,0,0.13377,16,1135,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1,14,102431,51.404,1.70329,54.1386,1.15256,0.331762,-2.73461,3,2,2,163.185,176.122,107.007,56.1779,0,1,1,20.5163,2,0,0,0.739156,11,1042,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102442,25.8059,2.39378,34.9562,-1.73952,0.421772,-9.15032,7,2,0,82.8795,155.002,42.1309,40.7486,0,0,0,0,0,0,0,0.424093,14,1314,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1,14,102388,117.138,-2.68562,123.8,-3.00924,1,-6.66183,2,1,1,123.8,134.463,123.8,10.6637,0,0,0,0,0,0,0,0.166538,12,1209,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102414,18.5649,1.59565,9.0121,-1.47509,0.0891367,9.55284,4,2,1,101.104,123.608,54.3779,46.7264,0,1,1,20.5081,1,0,0,0.728633,13,1356,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,14,102430,36.6628,2.31748,51.4391,2.40578,0.462514,-14.7763,5,2,1,111.216,153.913,71.0744,40.142,0,1,1,15.3763,3,0,0,0.575762,18,1177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102446,222.121,-1.92555,162.708,-1.71209,0.954369,59.4132,4,2,2,170.487,200.362,95.4114,75.0758,0,0,0,0,2,2,2,0.995499,23,1544,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102494,24.4326,-0.717014,39.4551,-0.838985,1,-15.0225,1,1,0,39.4551,39.4551,39.4551,0,0,0,0,0,0,0,0,0.158038,11,851,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102440,186.92,2.62731,159.607,2.28836,1,27.3133,4,1,1,159.607,216.989,159.607,28.2913,0,0,0,0,0,0,0,0.454056,10,973,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102454,21.049,2.088,0,0,0,21.049,1,0,0,0,18.2992,18.2992,0,0,0,0,0,1,0,0,0.572167,17,1066,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102508,111.919,-1.35589,31.6388,0.560013,1,80.2798,5,1,0,31.6388,96.9425,31.6388,19.8001,0,1,1,10.3816,1,0,0,0.552208,12,1294,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102429,84.9887,3.00995,0,0,0,84.9887,2,0,0,0,22.9607,11.9506,11.0102,0,0,0,0,0,0,0,0.526854,20,1400,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1,14,102368,111.073,0.138936,70.1774,-0.0875974,0.947763,40.8958,4,2,0,74.0453,95.1311,41.0194,33.026,0,0,0,0,1,1,1,0.995784,27,1768,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102457,233.02,2.72466,200.399,2.75985,1,32.6216,1,1,1,200.399,200.399,200.399,0,0,0,0,0,0,0,0,0.117278,24,1477,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,14,102533,82.5747,-2.96221,63.8622,-2.39553,0.478135,18.7125,4,2,1,133.565,158.21,90.7705,42.7947,0,0,0,0,1,0,0,0.558183,15,1338,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102523,76.3391,-3.11304,82.786,-2.37456,1,-6.44691,5,1,1,82.786,140.736,82.786,23.5001,0,0,0,0,0,0,0,0.366503,15,1320,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102658,70.1622,2.08187,13.9851,-3.12589,0.144198,56.1771,4,2,1,96.9857,141.146,50.1735,46.8122,0,0,0,0,0,0,0,0.329557,5,583,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102462,54.1677,-1.87629,114.711,-2.06352,1,-60.5429,2,1,1,114.711,127.631,114.711,12.9208,0,0,0,0,0,0,0,0.526128,20,1616,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102401,63.1545,1.26358,63.9245,2.62421,0.46608,-0.769958,9,3,1,137.154,222.555,69.603,34.5819,0,0,0,0,1,0,0,0.544704,27,1850,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1,14,102443,75.2059,-0.765946,88.795,-0.686812,0.433137,-13.5892,5,2,2,205.005,248.42,141.039,63.9657,1,0,1,17.709,0,0,0,0.287952,27,1539,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102613,46.1113,-2.87477,13.7766,-2.54975,0.131473,32.3347,6,2,1,104.786,154.28,58.5833,46.2031,1,0,1,25.1924,2,2,0,0.919063,15,1279,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,14,102661,29.7064,-0.826049,28.6386,-0.978469,0.280978,1.06779,2,2,1,101.925,101.925,59.6705,42.2543,0,0,0,0,0,0,0,0.152461,1,263,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102560,55.0219,1.72235,121.43,1.69068,1,-66.4083,3,1,1,121.43,142.73,121.43,10.8673,0,0,0,0,0,0,0,0.531737,18,1857,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102578,136.711,0.382786,149.937,0.410298,0.929648,-13.2266,7,2,2,161.284,240.308,101.632,59.6513,0,0,0,0,2,1,0,0.942881,18,1382,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,14,102574,67.8837,-0.196191,39.4763,1.28167,0.381425,28.4074,7,2,1,103.497,195.537,63.1581,40.3388,0,1,1,33.2562,1,0,0,0.556362,17,1613,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102415,101.668,0.257923,92.9986,-0.538989,1,8.66963,8,1,1,92.9986,191.747,92.9986,21.319,0,0,0,0,2,0,0,0.831487,22,2149,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102695,17.3305,-2.11327,77.5808,2.15615,1,-60.2503,1,1,1,77.5808,77.5808,77.5808,0,0,1,1,21.5636,0,0,0,0.120917,16,1139,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102497,123.666,0.614293,91.4394,0.58426,1,32.2268,4,1,1,91.4394,129.787,91.4394,13.9855,0,0,0,0,2,1,1,0.982852,22,1784,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102575,29.81,2.06405,35.2238,2.51559,1,-5.41377,6,1,0,35.2238,115.042,35.2238,24.6688,1,0,1,10.654,0,0,0,0.526612,19,1421,3,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1,14,102623,43.2796,-0.410901,79.2151,1.1885,1,-35.9355,4,1,1,79.2151,138.455,79.2151,27.8724,0,0,0,0,1,0,0,0.642684,11,1368,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102561,124.073,2.16773,88.3215,2.28686,0.824256,35.7511,8,2,1,107.153,186.365,70.6526,36.5004,0,0,0,0,2,0,0,0.629898,22,1830,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102675,56.3668,2.4861,80.617,2.82463,1,-24.2502,1,1,1,80.617,80.617,80.617,0,0,0,0,0,0,0,0,0.0480576,21,1382,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102581,115.115,0.538819,0,0,0,115.115,2,0,0,0,20.795,10.44,10.355,0,0,0,0,0,0,0,0.494197,15,1468,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,14,102684,106.749,0.708063,27.6276,-0.244747,0.223487,79.1215,3,3,0,123.621,123.621,46.1655,43.4445,0,0,0,0,1,0,0,0.665915,13,1225,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102628,41.5169,-2.53805,67.0084,-2.7289,0.997842,-25.4916,4,2,0,67.1533,93.3723,34.2542,32.8992,0,0,0,0,1,0,0,0.556052,13,1218,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102678,24.3953,2.97768,38.7485,0.894176,1,-14.3532,7,1,0,38.7485,149.12,38.7485,29.9287,0,0,0,0,0,0,0,0.303855,8,924,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102583,41.1419,-1.9432,54.4366,2.41847,1,-13.2947,4,1,1,54.4366,125.051,54.4366,27.5656,0,0,0,0,0,0,0,0.498111,16,1481,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102471,43.6327,1.23389,58.4881,1.33508,1,-14.8554,7,1,1,58.4881,131.52,58.4881,16.0952,0,0,0,0,1,0,0,0.65749,29,2190,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102653,43.2165,2.32849,44.3326,3.09709,1,-1.1161,5,1,0,44.3326,111.224,44.3326,29.441,0,0,0,0,1,0,0,0.553136,16,1145,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102696,137.164,1.82044,118.545,1.76986,0.980107,18.6192,2,2,1,120.951,120.951,89.3827,31.5679,0,0,0,0,0,0,0,0.500483,7,625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102688,105.034,-0.459459,103.32,-0.104818,0.453936,1.71375,6,3,2,227.61,269.941,104.483,89.0104,0,0,0,0,3,0,0,0.562904,15,1371,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102704,85.7944,-3.13545,57.794,-2.94249,1,28.0005,5,1,1,57.794,116.988,57.794,19.8384,0,0,0,0,0,0,0,0.277392,20,1457,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102690,100.066,-1.78151,39.6094,-1.94471,1,60.4566,6,1,0,39.6094,112.944,39.6094,20.1934,0,0,0,0,0,0,0,0.532638,18,1654,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102758,38.1443,-1.50591,81.5999,-1.51332,1,-43.4556,2,1,1,81.5999,93.6966,81.5999,12.0967,0,0,0,0,0,0,0,0.0565919,16,852,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1,14,102736,80.5599,1.19382,103.666,1.15348,0.881511,-23.1059,5,3,0,117.6,144.552,43.3614,41.1322,0,0,0,0,0,0,0,0.205128,9,977,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1,14,102700,25.8683,1.94161,32.0944,1.57673,1,-6.22609,4,1,0,32.0944,94.1822,32.0944,29.6346,0,0,0,0,2,0,0,0.711504,20,1580,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,14,102743,98.7291,-1.29406,94.4607,-0.846125,0.696336,4.26843,5,2,1,135.654,168.992,97.9726,37.6811,0,0,0,0,3,0,0,0.74261,21,1482,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1,14,102582,85.504,-1.47708,96.0654,-1.41971,1,-10.5613,6,1,1,96.0654,177.976,96.0654,27.551,0,1,1,20.0819,2,0,0,0.557856,24,2134,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102760,149.927,0.700247,102.356,0.83666,1,47.5715,4,1,1,102.356,137.269,102.356,13.5721,0,0,0,0,1,0,0,0.55227,8,846,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,14,102842,97.6232,-0.786244,95.2527,-0.9114,0.769789,2.37047,3,2,1,123.739,140.086,85.8879,37.8508,0,0,0,0,2,1,0,0.890529,12,812,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,14,102741,70.7792,0.871706,52.6474,2.44072,1,18.1317,3,1,1,52.6474,84.1833,52.6474,16.9922,0,0,0,0,0,0,0,0.471028,19,1498,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1,14,102662,45.4165,1.23704,61.4337,1.97938,0.286913,-16.0172,8,3,2,214.119,282.619,100.35,68.4911,0,0,0,0,2,0,0,0.700075,30,1941,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,102702,57.7192,-1.8326,54.3773,-2.17382,0.479197,3.34192,6,2,1,113.476,166.959,82.6435,30.8325,0,0,0,0,1,0,0,0.601591,15,1274,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
