run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
200525,116,97341674,59.8973,0.901191,150.093,0.847769,0.384194,-90.1953,46,7,2,390.668,909.287,128.943,79.6379,0,0,0,0,0,0,0,0.187874,27,1883,20,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97401114,17.1368,1.94932,6.54101,-0.902004,0.0198657,10.5958,38,4,4,329.261,601.564,100.37,96.7238,0,0,0,0,1,1,1,0.954572,20,1317,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97305698,12.9725,-1.65374,18.3949,-1.64508,0.0541519,-5.42244,41,3,2,339.691,753.537,178.515,121.608,0,0,0,0,0,0,0,0.220392,16,1526,7,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97414898,74.2346,0.676538,33.9247,1.20919,0.131675,40.3099,52,2,2,257.64,855.306,145.036,112.604,0,0,0,0,0,0,0,0.114298,19,1755,8,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
200525,116,97417194,28.6325,1.74601,30.7176,1.49806,0.0520156,-2.08515,46,7,4,590.546,1008.27,153.584,115.884,0,2,2,76.4455,0,0,0,0.226312,16,1642,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97402866,11.031,-0.830708,30.6132,2.143,0.102419,-19.5822,48,3,3,298.901,829.289,109.799,100.97,0,0,0,0,1,1,0,0.881801,21,1789,4,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97379114,35.1326,-1.14749,17.5199,-1.12406,0.032608,17.6127,47,5,4,537.287,1010.13,176.846,168.82,0,0,0,0,1,1,0,0.785173,23,1666,5,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97488834,29.7828,-1.6774,30.5917,-0.785931,0.102445,-0.808976,33,3,2,298.615,538.565,152.986,97.8274,0,0,0,0,0,0,0,0.215922,13,1126,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97510098,23.8343,0.609878,122.659,2.0239,0.562158,-98.8245,48,2,2,218.193,642.224,109.422,108.771,0,0,0,0,0,0,0,0.0965718,19,1527,8,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97414842,40.7281,0.102852,99.4491,2.58942,0.104169,-58.7209,52,16,7,954.686,1486.61,148.811,129.786,0,0,0,0,0,0,0,0.157405,34,2654,50,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97535666,66.7791,1.50852,70.5804,1.51364,0.155756,-3.8013,50,6,3,453.146,1000.52,180.653,103.711,0,0,0,0,1,1,0,0.791517,26,1897,17,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
200525,116,97523106,31.7121,2.33601,45.3894,-2.57997,0.155495,-13.6773,45,3,3,291.902,680.159,130.544,108.122,0,0,0,0,1,1,1,0.973616,20,1553,4,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
200525,116,97529994,80.9675,-1.43459,84.1778,-1.2324,0.244924,-3.21026,50,4,2,343.69,861.141,159.456,114.183,0,0,0,0,0,0,0,0.0276647,18,1665,9,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97580674,61.4571,-0.175691,69.3492,0.0245841,0.0985619,-7.89204,47,9,3,703.61,1269.07,205.558,189.177,0,0,0,0,1,1,0,0.700305,30,2018,12,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97595330,48.5336,1.00717,18.8724,-1.26485,0.0508751,29.6612,47,5,3,370.954,828.85,123.142,88.0032,0,1,1,27.3272,0,0,0,0.198419,24,1680,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97675092,121.525,1.20745,105.55,1.22964,0.448733,15.9751,40,2,2,235.218,503.914,170.331,64.8862,0,0,0,0,0,0,0,0.213026,22,1266,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
200525,116,97616420,88.0278,-1.16149,47.6395,-0.175053,0.11465,40.3883,50,8,2,415.519,1012.83,120.811,86.5699,0,0,0,0,2,0,0,0.291711,27,2021,23,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
200525,116,97745484,35.3597,-0.904936,48.5924,-1.36708,0.209525,-13.2327,43,2,2,231.917,624.667,140.243,91.6741,0,0,0,0,0,0,0,0.208002,15,1462,4,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
200525,116,97801804,21.7811,3.08299,37.726,-2.86015,0.141421,-15.9449,45,3,2,266.764,787.33,127.774,98.0926,0,1,1,10.8544,0,0,0,0.0834377,20,1622,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
200525,116,97661660,34.2409,-0.549899,59.601,-0.656981,0.172611,-25.3601,48,3,2,345.292,967.492,171.654,142.938,0,0,0,0,0,0,0,0.0310899,20,1829,9,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97807164,36.0824,-0.357221,23.5981,2.49865,0.0956447,12.4843,46,4,2,246.726,689.568,87.5381,79.8818,0,0,0,0,0,0,0,0.0245158,28,1605,5,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0
200525,116,97832028,64.2016,-0.521884,49.6792,3.06561,0.154822,14.5224,48,5,2,320.879,916.191,120.484,95.9176,0,0,0,0,0,0,0,0.0260447,20,1939,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
200525,116,97861756,38.5081,1.56712,33.6449,1.09796,0.111098,4.86319,43,2,2,302.84,776.632,168.081,134.758,0,0,0,0,0,0,0,0.200995,24,1555,9,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97759044,62.8603,-1.91729,86.0201,-2.00335,0.340824,-23.1598,49,3,3,252.389,716.89,118.35,82.4123,0,0,0,0,1,1,1,0.948823,21,1563,5,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
200525,116,97849444,66.0319,-0.397133,73.4924,0.929571,0.154166,-7.46047,47,6,4,476.71,1039.95,150.308,137.72,0,1,1,15.0089,0,0,0,0.101272,23,1764,14,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97480322,12.3884,2.7333,23.9134,-0.736821,0.0320601,-11.525,48,6,4,745.894,1163.49,237.489,236.717,2,1,3,136.471,0,0,0,0.0814021,25,1609,5,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
200525,116,97635908,32.3344,-1.79143,58.0428,-1.33897,0.0843158,-25.7084,52,13,4,688.397,1317.22,123.423,82.1364,0,0,0,0,0,0,0,0.18304,29,2467,25,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97642172,19.2676,-2.71962,29.9295,-2.53038,0.0964495,-10.6618,50,2,2,310.312,945.763,168.351,141.961,1,0,1,20.7609,1,0,0,0.429225,25,1786,8,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
200525,116,97725460,30.856,2.11773,69.5579,0.587027,0.11819,-38.702,52,12,2,588.527,1195.72,114.802,72.1247,0,0,0,0,0,0,0,0.199479,31,2282,39,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
200525,116,97912940,51.3017,-1.95016,64.2077,2.56046,0.0942887,-12.906,56,14,5,680.97,1289.89,104.392,81.7974,0,0,0,0,0,0,0,0.191313,32,2497,58,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
200525,116,97841956,13.2962,-2.19652,177.894,2.80455,0.470244,-164.598,45,4,3,378.301,833.877,141.712,134.473,0,1,1,10.5294,0,0,0,0.109496,15,1426,5,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97685572,155.781,-0.626429,118.998,-0.89917,0.340457,36.7824,42,5,3,349.525,735.684,145.671,74.279,0,1,1,17.9774,0,0,0,0.0576652,15,1403,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
200525,116,97848316,13.472,-1.05154,49.3884,-2.88997,0.107634,-35.9164,37,6,5,458.855,736.687,105.321,103.55,0,1,1,16.4471,1,0,0,0.332279,15,1345,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97948948,37.4705,-1.35162,79.8128,-1.28335,0.261284,-42.3424,41,3,3,305.464,581.758,153.084,98.3443,0,1,1,21.044,0,0,0,0.107363,14,1205,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97940604,23.2866,1.06609,46.1888,2.12008,0.122326,-22.9022,48,5,3,377.589,913.66,126.03,115.009,0,0,0,0,1,1,0,0.819766,25,1862,9,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,97942212,9.63027,-1.35124,202.489,2.68386,1,-192.859,47,1,1,202.489,688.726,202.489,25.7396,0,0,0,0,0,0,0,0.00330384,19,1468,7,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,98025836,36.7319,-1.12126,25.7138,-1.34021,0.11029,11.0181,51,2,2,233.148,806.148,117.194,115.954,1,1,2,82.4606,0,0,0,0.141405,15,1684,4,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0
200525,116,98064736,14.794,-2.73816,40.2753,-2.24201,0.100588,-25.4813,40,5,2,400.399,770.359,183.048,119.202,0,2,2,49.2502,0,0,0,0.224099,22,1567,13,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
200525,116,98075696,22.7765,1.95217,45.0294,1.81293,0.125753,-22.253,45,5,3,358.078,760.135,99.9251,98.7483,0,0,0,0,0,0,0,0.235062,23,1575,5,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
