run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status,MET_fraction,N_objects,S_event_proxy,high_MET,high_multiplicity,B_event,B_event_z
201191,1071,1428572535,52.5467,-1.30539,41.1674,-1.03136,0.340252,11.3793,32,3,0,120.991,352.869,42.3943,41.9968,1,0,1,18.7492,0,0,0,0.063471,12,1011,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0.30106217739777713,4,1.6094379124341003,0,0,0.7128576918933045,0.15879797926875308
201191,1071,1428687615,15.1546,1.0266,5.52524,1.41828,0.0594635,9.62932,34,2,0,92.9181,275.512,49.2207,43.6974,2,0,2,84.5282,0,0,0,-999.0,14,997,4,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0.1389403581281109,4,1.6094379124341003,0,0,-1.3292446551575046,-0.3148426881937904
201191,1071,1428656551,38.1272,0.829048,53.0625,0.74551,0.0617677,-14.9352,39,4,4,859.065,1162.06,390.39,278.26599999999996,1,1,2,51.1433,3,0,0,0.49355,17,1317,9,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0.04244882108751334,6,1.9459101490553132,0,0,12.381778889147007,2.865261557069809
201191,1071,1428716439,23.1818,0.706597,46.1838,0.823385,1.0,-23.002,36,1,0,46.1838,347.20599999999996,46.1838,26.1259,1,0,1,27.93,0,0,0,-999.0,10,1067,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0.3294479120479325,2,1.0986122886681096,0,0,-4.117014606136607,-0.9614318379593146
201191,1071,1428780759,15.7468,2.29276,11.9505,-2.14396,0.0902495,3.7963699999999996,20,3,1,132.416,235.59400000000002,58.8089,40.4639,1,0,1,34.5776,0,0,0,0.18666300000000002,8,650,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0.10556787617287956,4,1.6094379124341003,0,0,-1.2415913216066787,-0.29451256934921466
201191,1071,1428816871,19.704,-0.411029,52.2114,2.7416,1.0,-32.5073,38,1,1,52.2114,389.629,52.2114,27.8479,1,0,1,15.9802,0,0,0,-999.0,17,1156,4,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0.27023098001245277,2,1.0986122886681096,0,0,-3.5782788019646947,-0.8364786561354628
201191,1071,1428781711,47.6307,-0.816803,37.62,-1.04027,1.0,10.0107,42,1,0,37.62,384.311,37.62,20.6117,1,0,1,32.1466,0,0,0,-999.0,16,1194,3,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0.5522355180885489,2,1.0986122886681096,0,0,-1.712873750554262,-0.40382076564626745
201191,1071,1428673111,27.6666,0.9784290000000001,31.0357,-0.39183,1.0,-3.36905,45,1,0,31.0357,592.737,31.0357,29.5612,0,0,0,0.0,0,0,0,-999.0,16,1620,5,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0.4634092823894557,1,0.6931471805599453,0,0,-6.145590661752545,-1.4319352475303733
201191,1071,1428832039,15.7429,2.2597,34.1689,1.7821,0.15896300000000002,-18.426,34,3,2,214.949,508.004,90.146,75.7383,1,0,1,41.5737,0,0,0,0.15739,12,1109,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0.06794756312154202,4,1.6094379124341003,0,0,0.27533879589676846,0.05732082156088893
201191,1071,1428846815,13.1401,-2.06986,10.6819,-0.683632,0.0534063,2.45811,40,3,2,200.013,519.77,101.163,61.7052,1,0,1,91.6161,0,0,0,0.0880864,13,1193,4,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0.061358439359504954,4,1.6094379124341003,0,0,-0.03482716679901132,-0.014618380608656568
