run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
201191,1071,1428572535,52.5467,-1.30539,41.1674,-1.03136,0.340252,11.3793,32,3,0,120.991,352.869,42.3943,41.9968,1,0,1,18.7492,0,0,0,-999,12,1011,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428687615,15.1546,1.0266,5.52524,1.41828,0.0594635,9.62932,34,2,0,92.9181,275.512,49.2207,43.6974,2,0,2,84.5282,0,0,0,-999,14,997,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428656551,38.1272,0.829048,53.0625,0.74551,0.0617677,-14.9352,39,4,4,859.065,1162.06,390.39,278.266,1,1,2,51.1433,0,0,0,-999,17,1317,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428716439,23.1818,0.706597,46.1838,0.823385,1,-23.002,36,1,0,46.1838,347.206,46.1838,26.1259,1,0,1,27.93,0,0,0,-999,10,1067,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428780759,15.7468,2.29276,11.9505,-2.14396,0.0902495,3.79637,20,3,1,132.416,235.594,58.8089,40.4639,1,0,1,34.5776,0,0,0,-999,8,650,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428816871,19.704,-0.411029,52.2114,2.7416,1,-32.5073,38,1,1,52.2114,389.629,52.2114,27.8479,1,0,1,15.9802,0,0,0,-999,17,1156,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428781711,47.6307,-0.816803,37.62,-1.04027,1,10.0107,42,1,0,37.62,384.311,37.62,20.6117,1,0,1,32.1466,0,0,0,-999,16,1194,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428673111,27.6666,0.978429,31.0357,-0.39183,1,-3.36905,45,1,0,31.0357,592.737,31.0357,29.5612,0,0,0,0,0,0,0,-999,16,1620,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428832039,15.7429,2.2597,34.1689,1.7821,0.158963,-18.426,34,3,2,214.949,508.004,90.146,75.7383,1,0,1,41.5737,0,0,0,-999,12,1109,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428846815,13.1401,-2.06986,10.6819,-0.683632,0.0534063,2.45811,40,3,2,200.013,519.77,101.163,61.7052,1,0,1,91.6161,0,0,0,-999,13,1193,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428731855,38.3749,0.862967,58.9402,1.39332,0.153593,-20.5653,39,2,2,383.742,702.264,203.377,180.365,2,0,2,67.0153,0,0,0,-999,11,1178,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428853135,32.5537,0.19585,35.9302,0.937035,1,-3.37656,42,1,0,35.9302,402.69,35.9302,19.3404,1,0,1,29.5652,0,0,0,-999,12,1272,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428889327,15.2556,-0.301773,29.0782,-1.99066,0.127713,-13.8226,38,3,2,227.684,567.053,96.7248,94.1917,1,0,1,32.9608,0,0,0,-999,14,1275,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428900695,11.1217,0.503273,25.1622,1.16165,0.100014,-14.0404,34,4,2,251.586,509.832,118.35,50.7649,1,0,1,22.4378,0,0,0,-999,13,1147,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428926895,53.78,0.225518,40.059,0.591977,1,13.721,39,1,0,40.059,358.172,40.059,26.9266,1,0,1,33.1197,0,0,0,-999,14,1148,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428969471,10.27,-1.44298,33.7592,-2.09115,0.163257,-23.4892,37,4,2,206.786,476.138,81.8605,55.1354,1,1,2,42.5345,0,0,0,-999,12,1249,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1428964039,39.5305,2.14483,24.0414,-2.91166,0.210003,15.4891,44,3,1,114.481,466.579,53.6506,30.6746,1,0,1,19.3523,0,0,0,-999,12,1238,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429006783,28.4858,-2.03501,0,0,0,28.4858,41,0,0,0,346.564,27.1122,19.0277,1,0,1,25.5354,0,0,0,-999,11,1189,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429034983,7.24393,2.30765,39.0774,-2.0299,1,-31.8335,37,1,0,39.0774,380.815,39.0774,29.5002,1,1,2,28.6775,0,0,0,-999,10,1062,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429041359,13.7684,0.970508,53.6826,0.0985638,0.343537,-39.9142,35,2,2,156.264,434.709,79.6858,76.5786,1,1,2,38.5382,0,0,0,-999,10,1104,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429062231,43.0305,0.57628,23.2636,1.18353,0.140806,19.7669,42,4,0,165.217,466.933,44.6313,44.2681,1,0,1,18.0134,0,0,0,-999,18,1352,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429086847,7.41488,0.939207,109.384,2.57212,1,-101.969,25,1,1,109.384,279.555,109.384,27.8424,1,0,1,32.1694,0,0,0,-999,8,768,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429092479,19.2579,-0.679435,0,0,0,19.2579,37,0,0,0,333.905,17.806,15.9972,0,0,0,0,0,0,0,-999,19,1252,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429111919,55.4888,1.80338,37.614,1.88635,1,17.8747,29,1,0,37.614,250.598,37.614,15.0085,1,0,1,36.1877,0,0,0,-999,8,811,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429090375,27.1624,-1.61735,55.7717,-2.97214,0.192125,-28.6093,43,2,2,290.289,651.616,153.077,137.211,1,0,1,40.5756,0,0,0,-999,13,1293,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429131703,40.5267,-2.27672,44.1325,-2.64748,1,-3.60583,41,1,0,44.1325,379.008,44.1325,29.0907,1,0,1,31.4907,0,0,0,-999,11,1142,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429105823,34.9302,0.876423,26.6593,-2.3629,0.229121,8.27084,39,2,1,116.355,487.982,71.4696,44.8854,2,0,2,93.9514,0,0,0,-999,14,1222,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429150223,67.0806,-0.929885,54.422,-0.569839,0.630441,12.6586,42,2,1,86.3237,474.728,55.7073,30.6163,1,0,1,44.9879,0,0,0,-999,15,1373,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429149807,5.20369,1.2872,0.858464,0.470243,0.0113546,4.34522,40,2,0,75.6046,433.512,37.8467,37.7579,1,0,1,25.4709,0,0,0,-999,13,1225,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429145263,20.453,-1.59903,32.5031,-1.97857,0.143624,-12.0501,49,5,1,226.307,721.829,65.6539,44.4387,1,0,1,55.4909,0,0,0,-999,19,1710,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429241503,5.72129,-1.14392,26.7611,-0.347159,0.134757,-21.0398,32,2,2,198.587,356.917,112.644,85.9428,1,0,1,19.2352,0,0,0,-999,8,792,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429311327,12.3887,-2.78148,17.8522,2.13941,0.254169,-5.46353,23,2,0,70.2376,236.267,35.3428,34.8949,1,0,1,29.1964,0,0,0,-999,9,718,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429307103,76.1896,1.23755,75.2104,1.00471,0.200684,0.979188,35,5,3,374.77,567.926,158.933,86.8281,1,0,1,80.0767,0,0,0,-999,12,1073,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429309991,21.861,0.419618,12.4588,-0.301264,0.140331,9.40215,36,2,0,88.7816,373.39,49.5912,39.1904,1,0,1,28.9793,0,0,0,-999,17,1106,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429388967,27.3919,-0.432603,19.6902,-0.483852,0.191785,7.70174,33,2,1,102.668,294.518,60.3929,42.275,1,0,1,17.0804,0,0,0,-999,7,881,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429362895,47.1634,1.73316,41.4759,1.80316,1,5.68742,34,1,0,41.4759,322.194,41.4759,26.1612,1,0,1,38.8445,0,0,0,-999,12,983,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429384767,54.8598,1.76269,40.4796,1.60431,1,14.3801,33,1,0,40.4796,256.593,40.4796,15.9779,1,0,1,34.115,0,0,0,-999,15,1009,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429398607,1.29649,1.74768,31.9474,1.96396,1,-30.6509,30,1,0,31.9474,220.083,31.9474,27.6868,2,0,2,47.1032,0,0,0,-999,15,906,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429329087,27.9266,-1.57694,34.7016,-0.863781,0.215488,-6.77503,43,3,2,161.037,554.909,64.2923,62.5397,1,1,2,62.8001,0,0,0,-999,22,1527,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
201191,1071,1429402791,41.0276,-1.36199,46.3226,-2.50923,1,-5.29499,41,1,0,46.3226,385.762,46.3226,19.8004,1,0,1,37.6239,0,0,0,-999,14,1222,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429436711,18.7593,2.49049,9.78531,2.92168,0.0973058,8.97401,27,2,1,100.562,277.709,50.7688,49.7936,2,0,2,89.4153,0,0,0,-999,13,832,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
201191,1071,1429402351,40.7753,2.28188,9.17115,2.35173,0.0719357,31.6041,42,3,1,127.491,496.603,57.3279,37.771,1,0,1,25.2299,0,0,0,-999,13,1325,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
