dataset_label,record_id,process_family,primary_dataset,run_era,data_tier,xrootd_url,file_index,planned_max_events,status,output_path,notes,size_gb,selection_order
HTMHT__Run2016G-UL2016_MiniAODv2-v1__MINIAOD,30507,real_collision_data,HTMHT,Run2016G,MINIAOD,root://eospublic.cern.ch//eos/opendata/cms/Run2016G/HTMHT/MINIAOD/UL2016_MiniAODv2-v1/140000/69E69A48-D274-5549-8D08-0DA8C75CF581.root,0,20000,pending,,fresh independent real CMS MiniAOD validation; remote/cloud processing; no local ROOT retention,1.234294178,1
HTMHT__Run2016G-UL2016_MiniAODv2-v1__MINIAOD,30507,real_collision_data,HTMHT,Run2016G,MINIAOD,root://eospublic.cern.ch//eos/opendata/cms/Run2016G/HTMHT/MINIAOD/UL2016_MiniAODv2-v1/140000/EACC83B4-5202-CD49-A39A-D6128B86F264.root,1,20000,pending,,fresh independent real CMS MiniAOD validation; remote/cloud processing; no local ROOT retention,1.283355048,2
HTMHT__Run2016G-UL2016_MiniAODv2-v1__MINIAOD,30507,real_collision_data,HTMHT,Run2016G,MINIAOD,root://eospublic.cern.ch//eos/opendata/cms/Run2016G/HTMHT/MINIAOD/UL2016_MiniAODv2-v1/140000/D74D9B5D-0126-D447-A112-23EF9B62110F.root,2,20000,pending,,fresh independent real CMS MiniAOD validation; remote/cloud processing; no local ROOT retention,1.182666587,3
HTMHT__Run2016G-UL2016_MiniAODv2-v1__MINIAOD,30507,real_collision_data,HTMHT,Run2016G,MINIAOD,root://eospublic.cern.ch//eos/opendata/cms/Run2016G/HTMHT/MINIAOD/UL2016_MiniAODv2-v1/140000/52B8E2F3-85B2-364E-A619-F6308ABD1A9A.root,3,20000,pending,,fresh independent real CMS MiniAOD validation; remote/cloud processing; no local ROOT retention,1.099769088,4
HTMHT__Run2016G-UL2016_MiniAODv2-v1__MINIAOD,30507,real_collision_data,HTMHT,Run2016G,MINIAOD,root://eospublic.cern.ch//eos/opendata/cms/Run2016G/HTMHT/MINIAOD/UL2016_MiniAODv2-v1/140000/D1E014D2-2FE5-FC40-862C-0CE8BCE58F05.root,4,20000,pending,,fresh independent real CMS MiniAOD validation; remote/cloud processing; no local ROOT retention,1.026826211,5
HTMHT__Run2016G-UL2016_MiniAODv2-v1__MINIAOD,30507,real_collision_data,HTMHT,Run2016G,MINIAOD,root://eospublic.cern.ch//eos/opendata/cms/Run2016G/HTMHT/MINIAOD/UL2016_MiniAODv2-v1/280000/02BED1C1-B0F9-BC40-90B1-7F15FE986921.root,5,20000,pending,,fresh independent real CMS MiniAOD validation; remote/cloud processing; no local ROOT retention,0.9744156,6
HTMHT__Run2016G-UL2016_MiniAODv2-v1__MINIAOD,30507,real_collision_data,HTMHT,Run2016G,MINIAOD,root://eospublic.cern.ch//eos/opendata/cms/Run2016G/HTMHT/MINIAOD/UL2016_MiniAODv2-v1/140000/D3707DCA-FF59-F047-B8E9-C306F5DCD6E9.root,6,20000,pending,,fresh independent real CMS MiniAOD validation; remote/cloud processing; no local ROOT retention,0.920282926,7
HTMHT__Run2016G-UL2016_MiniAODv2-v1__MINIAOD,30507,real_collision_data,HTMHT,Run2016G,MINIAOD,root://eospublic.cern.ch//eos/opendata/cms/Run2016G/HTMHT/MINIAOD/UL2016_MiniAODv2-v1/120000/0493BDD6-4580-BD45-B0A2-4258DF0EDE5C.root,7,20000,pending,,fresh independent real CMS MiniAOD validation; remote/cloud processing; no local ROOT retention,0.855603463,8
HTMHT__Run2016G-UL2016_MiniAODv2-v1__MINIAOD,30507,real_collision_data,HTMHT,Run2016G,MINIAOD,root://eospublic.cern.ch//eos/opendata/cms/Run2016G/HTMHT/MINIAOD/UL2016_MiniAODv2-v1/130000/136A5C78-45B4-6A4A-B60D-71CC76A0B909.root,8,20000,pending,,fresh independent real CMS MiniAOD validation; remote/cloud processing; no local ROOT retention,0.80653352,9
HTMHT__Run2016G-UL2016_MiniAODv2-v1__MINIAOD,30507,real_collision_data,HTMHT,Run2016G,MINIAOD,root://eospublic.cern.ch//eos/opendata/cms/Run2016G/HTMHT/MINIAOD/UL2016_MiniAODv2-v1/140000/170671AC-8D71-E049-9575-C3D942FC9EB5.root,9,20000,pending,,fresh independent real CMS MiniAOD validation; remote/cloud processing; no local ROOT retention,1.716498905,10
HTMHT__Run2016G-UL2016_MiniAODv2-v1__MINIAOD,30507,real_collision_data,HTMHT,Run2016G,MINIAOD,root://eospublic.cern.ch//eos/opendata/cms/Run2016G/HTMHT/MINIAOD/UL2016_MiniAODv2-v1/280000/45A1D91F-8FAC-5E41-8C18-B506E0B17EFB.root,10,20000,pending,,fresh independent real CMS MiniAOD validation; remote/cloud processing; no local ROOT retention,1.995216063,11
