canonical_path,relative_to_project,bytes,extension,included_in_handoff,reason
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\cms_jetht_run2016g_collision_container.txt,data\cmssw_filelists\cms_jetht_run2016g_collision_container.txt,54,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\cms_jetht_run2016g_collision_windows.txt,data\cmssw_filelists\cms_jetht_run2016g_collision_windows.txt,110,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\cms_met_run2016g_collision_container.txt,data\cmssw_filelists\cms_met_run2016g_collision_container.txt,54,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\cms_met_run2016g_collision_windows.txt,data\cmssw_filelists\cms_met_run2016g_collision_windows.txt,108,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\cms_singlemuon_run2016g_collision_container.txt,data\cmssw_filelists\cms_singlemuon_run2016g_collision_container.txt,54,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\cms_singlemuon_run2016g_collision_windows.txt,data\cmssw_filelists\cms_singlemuon_run2016g_collision_windows.txt,115,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\sms_t5wg_mg1500_mlsp1_signal_container.txt,data\cmssw_filelists\sms_t5wg_mg1500_mlsp1_signal_container.txt,54,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\sms_t5wg_mg1500_mlsp1_signal_windows.txt,data\cmssw_filelists\sms_t5wg_mg1500_mlsp1_signal_windows.txt,110,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\susy_htoaa4b_m12_signal_container.txt,data\cmssw_filelists\susy_htoaa4b_m12_signal_container.txt,54,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\susy_htoaa4b_m12_signal_windows.txt,data\cmssw_filelists\susy_htoaa4b_m12_signal_windows.txt,105,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\filelists_real_collision_20gb\cms_jetht_run2016g_collision_files.txt,data\filelists_real_collision_20gb\cms_jetht_run2016g_collision_files.txt,520,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\filelists_real_collision_20gb\cms_met_run2016g_collision_files.txt,data\filelists_real_collision_20gb\cms_met_run2016g_collision_files.txt,384,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\filelists_real_collision_20gb\cms_singlemuon_run2016g_collision_files.txt,data\filelists_real_collision_20gb\cms_singlemuon_run2016g_collision_files.txt,270,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\filelists_real_collision_20gb_container\cms_jetht_run2016g_collision_files.txt,data\filelists_real_collision_20gb_container\cms_jetht_run2016g_collision_files.txt,336,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\filelists_real_collision_20gb_container\cms_met_run2016g_collision_files.txt,data\filelists_real_collision_20gb_container\cms_met_run2016g_collision_files.txt,246,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\filelists_real_collision_20gb_container\cms_singlemuon_run2016g_collision_files.txt,data\filelists_real_collision_20gb_container\cms_singlemuon_run2016g_collision_files.txt,178,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\non_docker_real_collision_cms_jetht_run2016g_collision_event_features.csv,data\interim\non_docker_real_collision_cms_jetht_run2016g_collision_event_features.csv,70242024,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\non_docker_real_collision_cms_met_run2016g_collision_event_features.csv,data\interim\non_docker_real_collision_cms_met_run2016g_collision_event_features.csv,160466485,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\non_docker_real_collision_cms_singlemuon_run2016g_collision_event_features.csv,data\interim\non_docker_real_collision_cms_singlemuon_run2016g_collision_event_features.csv,248568439,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_partial_cms_jetht_run2016g_collision_partial_events.csv,data\interim\uproot_partial_cms_jetht_run2016g_collision_partial_events.csv,4400730,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_partial_cms_met_run2016g_collision_partial_events.csv,data\interim\uproot_partial_cms_met_run2016g_collision_partial_events.csv,20925876,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_partial_cms_singlemuon_run2016g_collision_partial_events.csv,data\interim\uproot_partial_cms_singlemuon_run2016g_collision_partial_events.csv,44368642,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_partial_sms_t5wg_mg1500_mlsp1_signal_partial_events.csv,data\interim\uproot_partial_sms_t5wg_mg1500_mlsp1_signal_partial_events.csv,7692994,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_partial_susy_htoaa4b_m12_signal_partial_events.csv,data\interim\uproot_partial_susy_htoaa4b_m12_signal_partial_events.csv,587154,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_real_collision_partial_cms_jetht_run2016g_collision_partial_events.csv,data\interim\uproot_real_collision_partial_cms_jetht_run2016g_collision_partial_events.csv,57187141,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_real_collision_partial_cms_met_run2016g_collision_partial_events.csv,data\interim\uproot_real_collision_partial_cms_met_run2016g_collision_partial_events.csv,129995772,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_real_collision_partial_cms_singlemuon_run2016g_collision_partial_events.csv,data\interim\uproot_real_collision_partial_cms_singlemuon_run2016g_collision_partial_events.csv,202984847,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw5000_combined_event_features_scored_vs_real.csv,data\processed\cmssw5000_combined_event_features_scored_vs_real.csv,6231306,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw5000_combined_event_features_with_fitted_boundary.csv,data\processed\cmssw5000_combined_event_features_with_fitted_boundary.csv,6920295,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\real_collision_20gb_event_features_scored.csv,data\processed\real_collision_20gb_event_features_scored.csv,659313696,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\real_collision_20gb_non_docker_event_features.csv,data\processed\real_collision_20gb_non_docker_event_features.csv,479275722,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\real_collision_20gb_non_docker_event_features_scored.csv,data\processed\real_collision_20gb_non_docker_event_features_scored.csv,948989205,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\real_collision_20gb_uproot_partial_event_features.csv,data\processed\real_collision_20gb_uproot_partial_event_features.csv,390166932,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\stage2_event_features_scored.csv,data\processed\stage2_event_features_scored.csv,211437752,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
