sample_validation_id,primary_dataset,jet_bin,microband,n
Run2015D_remote_mht_aware_holdout,HTMHT,1to2jets,q90_95,726
Run2015D_remote_mht_aware_holdout,HTMHT,1to2jets,q95_97,336
Run2015D_remote_mht_aware_holdout,HTMHT,1to2jets,q97_98,181
Run2015D_remote_mht_aware_holdout,HTMHT,1to2jets,q98_99,188
Run2015D_remote_mht_aware_holdout,HTMHT,1to2jets,q99_100,191
Run2015D_remote_mht_aware_holdout,HTMHT,3to4jets,q90_95,398
Run2015D_remote_mht_aware_holdout,HTMHT,3to4jets,q95_97,132
Run2015D_remote_mht_aware_holdout,HTMHT,3to4jets,q97_98,51
Run2015D_remote_mht_aware_holdout,HTMHT,3to4jets,q98_99,44
Run2015D_remote_mht_aware_holdout,HTMHT,3to4jets,q99_100,40
Run2015D_remote_mht_aware_holdout,HTMHT,5plusjets,q90_95,66
Run2015D_remote_mht_aware_holdout,HTMHT,5plusjets,q95_97,12
Run2015D_remote_mht_aware_holdout,HTMHT,5plusjets,q97_98,8
Run2015D_remote_mht_aware_holdout,HTMHT,5plusjets,q98_99,8
Run2015D_remote_mht_aware_holdout,HTMHT,5plusjets,q99_100,9
Run2015D_remote_mht_aware_holdout,JetHT,0jet,q98_99,1
Run2015D_remote_mht_aware_holdout,JetHT,1to2jets,q90_95,207
Run2015D_remote_mht_aware_holdout,JetHT,1to2jets,q95_97,103
Run2015D_remote_mht_aware_holdout,JetHT,1to2jets,q97_98,46
Run2015D_remote_mht_aware_holdout,JetHT,1to2jets,q98_99,59
Run2015D_remote_mht_aware_holdout,JetHT,1to2jets,q99_100,71
Run2015D_remote_mht_aware_holdout,JetHT,3to4jets,q90_95,255
Run2015D_remote_mht_aware_holdout,JetHT,3to4jets,q95_97,91
Run2015D_remote_mht_aware_holdout,JetHT,3to4jets,q97_98,51
Run2015D_remote_mht_aware_holdout,JetHT,3to4jets,q98_99,37
Run2015D_remote_mht_aware_holdout,JetHT,3to4jets,q99_100,29
Run2015D_remote_mht_aware_holdout,JetHT,5plusjets,q90_95,28
Run2015D_remote_mht_aware_holdout,JetHT,5plusjets,q95_97,6
Run2015D_remote_mht_aware_holdout,JetHT,5plusjets,q97_98,3
Run2015D_remote_mht_aware_holdout,JetHT,5plusjets,q98_99,3
Run2015D_remote_mht_aware_holdout,MET,0jet,q90_95,294
Run2015D_remote_mht_aware_holdout,MET,0jet,q95_97,133
Run2015D_remote_mht_aware_holdout,MET,0jet,q97_98,83
Run2015D_remote_mht_aware_holdout,MET,0jet,q98_99,149
Run2015D_remote_mht_aware_holdout,MET,0jet,q99_100,189
Run2015D_remote_mht_aware_holdout,MET,1to2jets,q90_95,540
Run2015D_remote_mht_aware_holdout,MET,1to2jets,q95_97,194
Run2015D_remote_mht_aware_holdout,MET,1to2jets,q97_98,63
Run2015D_remote_mht_aware_holdout,MET,1to2jets,q98_99,30
Run2015D_remote_mht_aware_holdout,MET,1to2jets,q99_100,18
Run2015D_remote_mht_aware_holdout,MET,3to4jets,q90_95,204
Run2015D_remote_mht_aware_holdout,MET,3to4jets,q95_97,82
Run2015D_remote_mht_aware_holdout,MET,3to4jets,q97_98,57
Run2015D_remote_mht_aware_holdout,MET,3to4jets,q98_99,27
Run2015D_remote_mht_aware_holdout,MET,3to4jets,q99_100,9
Run2015D_remote_mht_aware_holdout,MET,5plusjets,q90_95,32
Run2015D_remote_mht_aware_holdout,MET,5plusjets,q95_97,21
Run2015D_remote_mht_aware_holdout,MET,5plusjets,q97_98,17
Run2015D_remote_mht_aware_holdout,MET,5plusjets,q98_99,4
Run2015D_remote_mht_aware_holdout,MET,5plusjets,q99_100,4
Run2015D_remote_mht_aware_holdout,SingleMuon,0jet,q90_95,165
Run2015D_remote_mht_aware_holdout,SingleMuon,0jet,q95_97,64
Run2015D_remote_mht_aware_holdout,SingleMuon,0jet,q97_98,36
Run2015D_remote_mht_aware_holdout,SingleMuon,0jet,q98_99,31
Run2015D_remote_mht_aware_holdout,SingleMuon,0jet,q99_100,47
Run2015D_remote_mht_aware_holdout,SingleMuon,1to2jets,q90_95,496
Run2015D_remote_mht_aware_holdout,SingleMuon,1to2jets,q95_97,205
Run2015D_remote_mht_aware_holdout,SingleMuon,1to2jets,q97_98,97
Run2015D_remote_mht_aware_holdout,SingleMuon,1to2jets,q98_99,103
Run2015D_remote_mht_aware_holdout,SingleMuon,1to2jets,q99_100,94
Run2015D_remote_mht_aware_holdout,SingleMuon,3to4jets,q90_95,83
Run2015D_remote_mht_aware_holdout,SingleMuon,3to4jets,q95_97,26
Run2015D_remote_mht_aware_holdout,SingleMuon,3to4jets,q97_98,15
Run2015D_remote_mht_aware_holdout,SingleMuon,3to4jets,q98_99,15
Run2015D_remote_mht_aware_holdout,SingleMuon,3to4jets,q99_100,6
Run2015D_remote_mht_aware_holdout,SingleMuon,5plusjets,q90_95,6
Run2015D_remote_mht_aware_holdout,SingleMuon,5plusjets,q95_97,5
Run2015D_remote_mht_aware_holdout,SingleMuon,5plusjets,q97_98,2
Run2015D_remote_mht_aware_holdout,SingleMuon,5plusjets,q98_99,1
Run2015D_remote_mht_aware_holdout,SingleMuon,5plusjets,q99_100,3
Run2016G_remote_mht_aware_fresh,HTMHT,1to2jets,q90_95,310
Run2016G_remote_mht_aware_fresh,HTMHT,1to2jets,q95_97,129
Run2016G_remote_mht_aware_fresh,HTMHT,1to2jets,q97_98,73
Run2016G_remote_mht_aware_fresh,HTMHT,1to2jets,q98_99,81
Run2016G_remote_mht_aware_fresh,HTMHT,1to2jets,q99_100,73
Run2016G_remote_mht_aware_fresh,HTMHT,3to4jets,q90_95,366
Run2016G_remote_mht_aware_fresh,HTMHT,3to4jets,q95_97,136
Run2016G_remote_mht_aware_fresh,HTMHT,3to4jets,q97_98,57
Run2016G_remote_mht_aware_fresh,HTMHT,3to4jets,q98_99,58
Run2016G_remote_mht_aware_fresh,HTMHT,3to4jets,q99_100,64
Run2016G_remote_mht_aware_fresh,HTMHT,5plusjets,q90_95,54
Run2016G_remote_mht_aware_fresh,HTMHT,5plusjets,q95_97,25
Run2016G_remote_mht_aware_fresh,HTMHT,5plusjets,q97_98,10
Run2016G_remote_mht_aware_fresh,HTMHT,5plusjets,q98_99,11
Run2016G_remote_mht_aware_fresh,HTMHT,5plusjets,q99_100,13
Run2016G_remote_mht_aware_fresh,JetHT,1to2jets,q90_95,246
Run2016G_remote_mht_aware_fresh,JetHT,1to2jets,q95_97,108
Run2016G_remote_mht_aware_fresh,JetHT,1to2jets,q97_98,55
Run2016G_remote_mht_aware_fresh,JetHT,1to2jets,q98_99,66
Run2016G_remote_mht_aware_fresh,JetHT,1to2jets,q99_100,84
Run2016G_remote_mht_aware_fresh,JetHT,3to4jets,q90_95,401
Run2016G_remote_mht_aware_fresh,JetHT,3to4jets,q95_97,168
Run2016G_remote_mht_aware_fresh,JetHT,3to4jets,q97_98,84
Run2016G_remote_mht_aware_fresh,JetHT,3to4jets,q98_99,75
Run2016G_remote_mht_aware_fresh,JetHT,3to4jets,q99_100,62
Run2016G_remote_mht_aware_fresh,JetHT,5plusjets,q90_95,93
Run2016G_remote_mht_aware_fresh,JetHT,5plusjets,q95_97,24
Run2016G_remote_mht_aware_fresh,JetHT,5plusjets,q97_98,11
Run2016G_remote_mht_aware_fresh,JetHT,5plusjets,q98_99,9
Run2016G_remote_mht_aware_fresh,JetHT,5plusjets,q99_100,4
Run2016G_remote_mht_aware_fresh,MET,0jet,q90_95,204
Run2016G_remote_mht_aware_fresh,MET,0jet,q95_97,100
Run2016G_remote_mht_aware_fresh,MET,0jet,q97_98,60
Run2016G_remote_mht_aware_fresh,MET,0jet,q98_99,57
