audit_utc,record_id,process_family,purpose,title,cross_section_pb,cross_section_uncertainty_pb,generated_events,filter_efficiency,matching_efficiency,negative_weight_fraction,record_file_count,online_file_count,selected_file_count,planned_events,record_url,normalisation_rule
2026-06-22T09:06:17.726596+00:00,69746,WJets,inclusive lost-lepton component,/WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,54110.0,21.0,82754918,1.0,0.4,0.0,945,1,1,5000,https://opendata.cern.ch/record/69746,use per-event generator_weight and record-level sum of generator weights when available; otherwise mark yield non-final
2026-06-22T09:06:17.726596+00:00,69548,WJets,three-jet lost-lepton component,/W3JetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,823.3,0.4705,17832683,1.0,0.1,0.0,288,288,3,15000,https://opendata.cern.ch/record/69548,use per-event generator_weight and record-level sum of generator weights when available; otherwise mark yield non-final
2026-06-22T09:06:17.726596+00:00,74907,ZNuNu,invisible-Z 100-200 GeV component,/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,5.019,0.003125,2235660,1.0,0.1,0.0,176,1,1,5000,https://opendata.cern.ch/record/74907,use per-event generator_weight and record-level sum of generator weights when available; otherwise mark yield non-final
2026-06-22T09:06:17.726596+00:00,74909,ZNuNu,invisible-Z >200 GeV component,/ZJetsToNuNu_Zpt-200toInf_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,0.7399,0.001017,458427,1.0,0.1,0.0,83,1,1,5000,https://opendata.cern.ch/record/74909,use per-event generator_weight and record-level sum of generator weights when available; otherwise mark yield non-final
2026-06-22T09:06:17.726596+00:00,63118,QCD,QCD HT 300-500 component,/QCD_HT300to500_TuneCP5_PSWeights_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,324700.0,97.56,46863466,1.0,0.1,0.0,562,562,3,15000,https://opendata.cern.ch/record/63118,use per-event generator_weight and record-level sum of generator weights when available; otherwise mark yield non-final
2026-06-22T09:06:17.726596+00:00,63126,QCD,QCD HT 500-700 component,/QCD_HT500to700_TuneCP5_PSWeights_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,30350.0,9.182,52916471,1.0,0.1,0.0,1143,1143,3,15000,https://opendata.cern.ch/record/63126,use per-event generator_weight and record-level sum of generator weights when available; otherwise mark yield non-final
2026-06-22T09:06:17.726596+00:00,63102,QCD,QCD HT >2000 component,/QCD_HT2000toInf_TuneCP5_PSWeights_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,21.94,0.009574,4867995,1.0,0.1,0.0,163,163,3,15000,https://opendata.cern.ch/record/63102,use per-event generator_weight and record-level sum of generator weights when available; otherwise mark yield non-final
2026-06-22T09:06:17.726596+00:00,72753,diboson,WZ component,/WZ_TuneCP5_13TeV-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,27.56,0.006072,7584000,1.0,,0.0,106,106,3,15000,https://opendata.cern.ch/record/72753,use per-event generator_weight and record-level sum of generator weights when available; otherwise mark yield non-final
2026-06-22T09:06:17.726596+00:00,75592,diboson,ZZ component,/ZZ_TuneCP5_13TeV-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,12.08,0.07904,1151000,1.0,,0.0,29,29,3,15000,https://opendata.cern.ch/record/75592,use per-event generator_weight and record-level sum of generator weights when available; otherwise mark yield non-final
2026-06-22T_ZNuNuHT_extension,74893,ZNuNu,invisible-Z HT-binned component,/ZJetsToNuNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,266.3,0.09388,7083216,1.0,0.1,0.0,97,1,1,5000,https://opendata.cern.ch/record/74893,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
2026-06-22T_ZNuNuHT_extension,74897,ZNuNu,invisible-Z HT-binned component,/ZJetsToNuNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,73.02,0.02654,6814106,1.0,0.1,0.0,119,1,1,5000,https://opendata.cern.ch/record/74897,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
