primary_dataset,missing_decile_frozen,microband,score_low,score_high,reference_events_in_decile
MET,0,q90_95,-0.8311193221347647,-0.7430321410977813,34504
MET,0,q95_97,-0.7430321410977813,-0.7062554050211464,34504
MET,0,q97_98,-0.7062554050211464,-0.6753753020996234,34504
MET,0,q98_99,-0.6753753020996234,-0.6298671416685161,34504
MET,0,q99_100,-0.6298671416685161,inf,34504
MET,1,q90_95,-0.36730867843904597,-0.3013610108772844,34503
MET,1,q95_97,-0.3013610108772844,-0.2553956166381997,34503
MET,1,q97_98,-0.2553956166381997,-0.23019317714265586,34503
MET,1,q98_99,-0.23019317714265586,-0.1933658611299297,34503
MET,1,q99_100,-0.1933658611299297,inf,34503
MET,2,q90_95,-0.0985685130942183,-0.03445168318503809,34504
MET,2,q95_97,-0.03445168318503809,0.01355106611435844,34504
MET,2,q97_98,0.01355106611435844,0.041259388093195945,34504
MET,2,q98_99,0.041259388093195945,0.08004812446297255,34504
MET,2,q99_100,0.08004812446297255,inf,34504
MET,3,q90_95,0.09777255763327689,0.17634636812800653,34503
MET,3,q95_97,0.17634636812800653,0.22150511295801015,34503
MET,3,q97_98,0.22150511295801015,0.2490958977353602,34503
MET,3,q98_99,0.2490958977353602,0.2849336051202365,34503
MET,3,q99_100,0.2849336051202365,inf,34503
MET,4,q90_95,0.2509935521987301,0.3465758005843426,34503
MET,4,q95_97,0.3465758005843426,0.39393093757083936,34503
MET,4,q97_98,0.39393093757083936,0.43068133604574693,34503
MET,4,q98_99,0.43068133604574693,0.47783008678611216,34503
MET,4,q99_100,0.47783008678611216,inf,34503
MET,5,q90_95,0.39687327703287206,0.4890216100547379,34504
MET,5,q95_97,0.4890216100547379,0.5501784977167575,34504
MET,5,q97_98,0.5501784977167575,0.5877101127577701,34504
MET,5,q98_99,0.5877101127577701,0.6483211708315514,34504
MET,5,q99_100,0.6483211708315514,inf,34504
MET,6,q90_95,0.5471363055724889,0.6126790406698804,34500
MET,6,q95_97,0.6126790406698804,0.6707393747375342,34500
MET,6,q97_98,0.6707393747375342,0.7176893278835016,34500
MET,6,q98_99,0.7176893278835016,0.7825686286824929,34500
MET,6,q99_100,0.7825686286824929,inf,34500
MET,7,q90_95,0.7131928222073675,0.7699473805438231,34507
MET,7,q95_97,0.7699473805438231,0.8172450170879982,34507
MET,7,q97_98,0.8172450170879982,0.8578194206711169,34507
MET,7,q98_99,0.8578194206711169,0.9304773607002267,34507
MET,7,q99_100,0.9304773607002267,inf,34507
MET,8,q90_95,0.9018281716523652,0.9601735135057937,34503
MET,8,q95_97,0.9601735135057937,1.0114946793352113,34503
MET,8,q97_98,1.0114946793352113,1.0616167523915747,34503
MET,8,q98_99,1.0616167523915747,1.1501955162307504,34503
MET,8,q99_100,1.1501955162307504,inf,34503
MET,9,q90_95,1.32143494406973,1.4633315888482863,34504
MET,9,q95_97,1.4633315888482863,1.5706562856988198,34504
MET,9,q97_98,1.5706562856988198,1.6530810068614232,34504
MET,9,q98_99,1.6530810068614232,1.7844659559884897,34504
MET,9,q99_100,1.7844659559884897,inf,34504
JetHT,0,q90_95,-0.9276285866879931,-0.8678933229195799,23072
JetHT,0,q95_97,-0.8678933229195799,-0.8348156960780346,23072
JetHT,0,q97_98,-0.8348156960780346,-0.8129972039090658,23072
JetHT,0,q98_99,-0.8129972039090658,-0.7805024517642727,23072
JetHT,0,q99_100,-0.7805024517642727,inf,23072
JetHT,1,q90_95,-0.4757513055041311,-0.4306091893700998,23071
JetHT,1,q95_97,-0.4306091893700998,-0.4049295302834358,23071
JetHT,1,q97_98,-0.4049295302834358,-0.38402352761780767,23071
JetHT,1,q98_99,-0.38402352761780767,-0.35519585544677384,23071
JetHT,1,q99_100,-0.35519585544677384,inf,23071
JetHT,2,q90_95,-0.198486650416848,-0.15894203610786808,23070
JetHT,2,q95_97,-0.15894203610786808,-0.13320906651074366,23070
JetHT,2,q97_98,-0.13320906651074366,-0.11676818772946904,23070
JetHT,2,q98_99,-0.11676818772946904,-0.09402409568907251,23070
JetHT,2,q99_100,-0.09402409568907251,inf,23070
JetHT,3,q90_95,0.017684566336320873,0.052486842839618984,23072
JetHT,3,q95_97,0.052486842839618984,0.07586364754634581,23072
JetHT,3,q97_98,0.07586364754634581,0.09191178745907423,23072
JetHT,3,q98_99,0.09191178745907423,0.11751620287673763,23072
