mode,process_family,microband,sm_weight
exact_completed_only,TTAssoc,q90_95,0.4337741708289602
exact_completed_only,TTAssoc,q95_97,0.2270759978847622
exact_completed_only,TTAssoc,q97_98,0.1135379989423811
exact_completed_only,TTAssoc,q98_99,0.14720508852919634
exact_completed_only,TTAssoc,q99_100,0.0974795421929657
exact_completed_only,WJets,q90_95,29.427669141972242
exact_completed_only,WJets,q95_97,10.641795670223857
exact_completed_only,WJets,q97_98,5.122481513557607
exact_completed_only,WJets,q98_99,5.124847559586767
exact_completed_only,WJets,q99_100,4.99119351925566
exact_plus_unit_weight_metadata,QCD,q90_95,253.8793426085425
exact_plus_unit_weight_metadata,QCD,q95_97,66.68272896736353
exact_plus_unit_weight_metadata,QCD,q97_98,14.453530537994862
exact_plus_unit_weight_metadata,QCD,q98_99,24.374034391676897
exact_plus_unit_weight_metadata,QCD,q99_100,26.94312629912544
exact_plus_unit_weight_metadata,TTAssoc,q90_95,0.4337741708289602
exact_plus_unit_weight_metadata,TTAssoc,q95_97,0.2270759978847622
exact_plus_unit_weight_metadata,TTAssoc,q97_98,0.1135379989423811
exact_plus_unit_weight_metadata,TTAssoc,q98_99,0.14720508852919634
exact_plus_unit_weight_metadata,TTAssoc,q99_100,0.0974795421929657
exact_plus_unit_weight_metadata,TTTop,q90_95,0.1234250731437509
exact_plus_unit_weight_metadata,TTTop,q95_97,0.0519063548029077
exact_plus_unit_weight_metadata,TTTop,q97_98,0.0237591790468081
exact_plus_unit_weight_metadata,TTTop,q98_99,0.0203693732286968
exact_plus_unit_weight_metadata,TTTop,q99_100,0.0171858460325718
exact_plus_unit_weight_metadata,WJets,q90_95,29.427669141972242
exact_plus_unit_weight_metadata,WJets,q95_97,10.641795670223857
exact_plus_unit_weight_metadata,WJets,q97_98,5.122481513557607
exact_plus_unit_weight_metadata,WJets,q98_99,5.124847559586767
exact_plus_unit_weight_metadata,WJets,q99_100,4.99119351925566
exact_plus_unit_weight_metadata,ZNuNu,q90_95,15.292562811359414
exact_plus_unit_weight_metadata,ZNuNu,q95_97,7.020455397991552
exact_plus_unit_weight_metadata,ZNuNu,q97_98,4.49353346476619
exact_plus_unit_weight_metadata,ZNuNu,q98_99,5.548019330250491
exact_plus_unit_weight_metadata,ZNuNu,q99_100,5.814393927293185
exact_plus_unit_weight_metadata,diboson,q90_95,98.22796932964175
exact_plus_unit_weight_metadata,diboson,q95_97,35.191609339704584
exact_plus_unit_weight_metadata,diboson,q97_98,15.916227630623885
exact_plus_unit_weight_metadata,diboson,q98_99,16.4119787004146
exact_plus_unit_weight_metadata,diboson,q99_100,15.426709949246108
