mode,sample_validation_id,region,uncertainty,microband,observed,expected
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.1,q90_95,1980.0,1980.0
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.1,q95_97,1195.0,720.6740035110619
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.1,q97_98,704.0,347.18076169833506
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.1,q98_99,799.0,349.56998340380596
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.1,q99_100,908.0,337.4107726852243
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.2,q90_95,1980.0,1980.0
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.2,q95_97,1195.0,720.6740035110619
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.2,q97_98,704.0,347.18076169833506
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.2,q98_99,799.0,349.56998340380596
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.2,q99_100,908.0,337.4107726852243
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.3,q90_95,1980.0,1980.0
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.3,q95_97,1195.0,720.6740035110619
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.3,q97_98,704.0,347.18076169833506
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.3,q98_99,799.0,349.56998340380596
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.3,q99_100,908.0,337.4107726852243
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.4,q90_95,1980.0,1980.0
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.4,q95_97,1195.0,720.6740035110619
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.4,q97_98,704.0,347.18076169833506
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.4,q98_99,799.0,349.56998340380596
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.4,q99_100,908.0,337.4107726852243
