mode,sample_validation_id,region,relative_independent_shape_uncertainty,anchor_q90_95,upper_observed,upper_expected,obs_over_exp_upper,background_only_p,background_only_Z,fit_mu_trace
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.1,1980.0,3606.0,1754.835521298427,2.054893439432928,5.040089843333699e-44,13.866705184496523,1.021466168261197
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,3304.0,3297.0,2928.270991095961,1.1259203844265913,0.011103364126555474,2.2868132075331604,0.13403681534002684
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,315.0,273.0,279.17837838838614,0.9778694237567677,0.4999839721275679,4.017591823129007e-05,0.0
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,882.0,650.0,781.6994594874811,0.8315216188407889,0.5,0.0,1.625064270101224e-10
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,398.0,802.0,352.7396653923101,2.273631458792794,1.574868219522941e-26,10.594811878734554,1.2460662587287146
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.1,1525.0,1458.0,1351.5778636263137,1.0787391827268857,0.0818887727269288,1.3924785077494501,0.09088889680162812
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.1,1980.0,3606.0,1319.6613018156995,2.7325193176753504,1.78108155135945e-98,21.028981408985906,1.613306583305023
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,3304.0,3297.0,2202.1014854540763,1.4972062013391514,6.489115580612539e-14,7.406391518658952,0.5123744823231776
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,315.0,273.0,209.9461161979522,1.3003336520052418,0.0093960616487081,2.3496291555132274,0.2787068231413669
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,882.0,650.0,587.8491253542662,1.10572589456228,0.10543122803711286,1.2511974288310732,0.10030776048700486
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,398.0,802.0,265.26525157709517,3.023388835257645,3.418748393396277e-43,13.728672355897128,1.9630358658803082
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.1,1525.0,1458.0,1016.4058006408798,1.4344664297278504,1.7901722772209437e-09,5.902499844617661,0.451489850933032
