sample_validation_id,process_family,fitted_nonnegative_coefficient
Run2015D_remote_mht_aware_holdout,QCD,0.0
Run2015D_remote_mht_aware_holdout,TTAssoc,3.4020843530318534
Run2015D_remote_mht_aware_holdout,TTTop,0.0
Run2015D_remote_mht_aware_holdout,WJets,4.991759304159397
Run2015D_remote_mht_aware_holdout,ZNuNu,0.0
Run2015D_remote_mht_aware_holdout,diboson,0.0
Run2016H_remote_mht_aware,QCD,0.0
Run2016H_remote_mht_aware,TTAssoc,53.46382094878899
Run2016H_remote_mht_aware,TTTop,0.0
Run2016H_remote_mht_aware,WJets,31.020074873453428
Run2016H_remote_mht_aware,ZNuNu,0.0
Run2016H_remote_mht_aware,diboson,0.0
Run2016G_remote_mht_aware_fresh,QCD,0.0
Run2016G_remote_mht_aware_fresh,TTAssoc,59.65593947928969
Run2016G_remote_mht_aware_fresh,TTTop,0.0
Run2016G_remote_mht_aware_fresh,WJets,9.50153560687463
Run2016G_remote_mht_aware_fresh,ZNuNu,0.0
Run2016G_remote_mht_aware_fresh,diboson,0.0
