primary_dataset,missing_decile_frozen,microband,score_low,score_high,reference_events_in_decile
MET,0,q90_95,-0.7828868998038315,-0.7468224035972011,6934
MET,0,q95_97,-0.7468224035972011,-0.7254067468085149,6934
MET,0,q97_98,-0.7254067468085149,-0.711553095456576,6934
MET,0,q98_99,-0.711553095456576,-0.6841460699695229,6934
MET,0,q99_100,-0.6841460699695229,inf,6934
MET,1,q90_95,-0.6008968874088305,-0.5691383008087917,6933
MET,1,q95_97,-0.5691383008087917,-0.5472462586832412,6933
MET,1,q97_98,-0.5472462586832412,-0.531120883974217,6933
MET,1,q98_99,-0.531120883974217,-0.5077810163830156,6933
MET,1,q99_100,-0.5077810163830156,inf,6933
MET,2,q90_95,-0.4209679682760715,-0.38641155517203557,6933
MET,2,q95_97,-0.38641155517203557,-0.3656559386198643,6933
MET,2,q97_98,-0.3656559386198643,-0.3467273235093737,6933
MET,2,q98_99,-0.3467273235093737,-0.3224527374101204,6933
MET,2,q99_100,-0.3224527374101204,inf,6933
MET,3,q90_95,-0.2293526880750237,-0.19489102991963447,6933
MET,3,q95_97,-0.19489102991963447,-0.17115196954337789,6933
MET,3,q97_98,-0.17115196954337789,-0.15258318049609026,6933
MET,3,q98_99,-0.15258318049609026,-0.12162090244325345,6933
MET,3,q99_100,-0.12162090244325345,inf,6933
MET,4,q90_95,-0.02674541155735548,0.013109781025318162,6933
MET,4,q95_97,0.013109781025318162,0.036310787851495226,6933
MET,4,q97_98,0.036310787851495226,0.05439288075805046,6933
MET,4,q98_99,0.05439288075805046,0.07647730135316264,6933
MET,4,q99_100,0.07647730135316264,inf,6933
MET,5,q90_95,0.19079143093450615,0.22965643391447774,6933
MET,5,q95_97,0.22965643391447774,0.25366624839987884,6933
MET,5,q97_98,0.25366624839987884,0.2744041916293685,6933
MET,5,q98_99,0.2744041916293685,0.2983966702116501,6933
MET,5,q99_100,0.2983966702116501,inf,6933
MET,6,q90_95,0.444249873915211,0.48331754119722004,6933
MET,6,q95_97,0.48331754119722004,0.5043874463353937,6933
MET,6,q97_98,0.5043874463353937,0.5216502158733216,6933
MET,6,q98_99,0.5216502158733216,0.548144465253883,6933
MET,6,q99_100,0.548144465253883,inf,6933
MET,7,q90_95,0.7520842001502542,0.798291843887777,6932
MET,7,q95_97,0.798291843887777,0.8263039642192099,6932
MET,7,q97_98,0.8263039642192099,0.8424773993263639,6932
MET,7,q98_99,0.8424773993263639,0.8738885171678303,6932
MET,7,q99_100,0.8738885171678303,inf,6932
MET,8,q90_95,1.2333341696146287,1.2919230573546516,6934
MET,8,q95_97,1.2919230573546516,1.3221519082833542,6934
MET,8,q97_98,1.3221519082833542,1.3454399058332938,6934
MET,8,q98_99,1.3454399058332938,1.372727118107912,6934
MET,8,q99_100,1.372727118107912,inf,6934
MET,9,q90_95,3.3637300994570083,4.028668038473562,6934
MET,9,q95_97,4.028668038473562,4.544853036432584,6934
MET,9,q97_98,4.544853036432584,4.864981906620806,6934
MET,9,q98_99,4.864981906620806,5.604439592894533,6934
MET,9,q99_100,5.604439592894533,inf,6934
JetHT,0,q90_95,-0.9096243033264118,-0.8460780954406921,3233
JetHT,0,q95_97,-0.8460780954406921,-0.8045656955782935,3233
JetHT,0,q97_98,-0.8045656955782935,-0.7622005695930505,3233
JetHT,0,q98_99,-0.7622005695930505,-0.7084828180344666,3233
JetHT,0,q99_100,-0.7084828180344666,inf,3233
JetHT,1,q90_95,-0.4532046847010054,-0.3788901111952518,3234
JetHT,1,q95_97,-0.3788901111952518,-0.33969229137423324,3234
JetHT,1,q97_98,-0.33969229137423324,-0.31844808970008437,3234
JetHT,1,q98_99,-0.31844808970008437,-0.2635284367530529,3234
JetHT,1,q99_100,-0.2635284367530529,inf,3234
JetHT,2,q90_95,-0.1793299140012789,-0.11655059678416457,3232
JetHT,2,q95_97,-0.11655059678416457,-0.07933747304694912,3232
JetHT,2,q97_98,-0.07933747304694912,-0.04807470158676533,3232
JetHT,2,q98_99,-0.04807470158676533,-0.0037171024013407236,3232
JetHT,2,q99_100,-0.0037171024013407236,inf,3232
JetHT,3,q90_95,0.03409269127019762,0.09123226255586464,3234
JetHT,3,q95_97,0.09123226255586464,0.1246893507834039,3234
JetHT,3,q97_98,0.1246893507834039,0.15588241501228814,3234
JetHT,3,q98_99,0.15588241501228814,0.20530784367665691,3234
JetHT,3,q99_100,0.20530784367665691,inf,3234
JetHT,4,q90_95,0.2210050971552936,0.2826259915554037,3233
