sample_validation_id,process_family,fitted_coefficient
Run2015D_remote_mht_aware_holdout,QCD,0.0
Run2015D_remote_mht_aware_holdout,TTAssoc,0.0
Run2015D_remote_mht_aware_holdout,TTTop,0.0
Run2015D_remote_mht_aware_holdout,WJets,0.0
Run2015D_remote_mht_aware_holdout,ZNuNu,0.0
Run2015D_remote_mht_aware_holdout,diboson,12.669967378272364
Run2016H_remote_mht_aware,QCD,0.0
Run2016H_remote_mht_aware,TTAssoc,0.0
Run2016H_remote_mht_aware,TTTop,0.0
Run2016H_remote_mht_aware,WJets,0.0
Run2016H_remote_mht_aware,ZNuNu,8.897574655546931
Run2016H_remote_mht_aware,diboson,31.37261865270124
Run2016G_remote_mht_aware_fresh,QCD,0.0
Run2016G_remote_mht_aware_fresh,TTAssoc,0.0
Run2016G_remote_mht_aware_fresh,TTTop,0.0
Run2016G_remote_mht_aware_fresh,WJets,0.0
Run2016G_remote_mht_aware_fresh,ZNuNu,5.335755337240509
Run2016G_remote_mht_aware_fresh,diboson,18.44229495569945
