sample_validation_id,stage,stream,microband,observed,expected
Run2015D_remote_mht_aware_holdout,control_fit,JetHT,q90_95,40.0,7.288519781733315
Run2015D_remote_mht_aware_holdout,control_fit,JetHT,q95_97,11.0,2.262515367674898
Run2015D_remote_mht_aware_holdout,control_fit,JetHT,q97_98,8.0,1.5083435784499324
Run2015D_remote_mht_aware_holdout,control_fit,JetHT,q98_99,7.0,2.262515367674898
Run2015D_remote_mht_aware_holdout,control_fit,JetHT,q99_100,9.0,4.356231995005567
Run2015D_remote_mht_aware_holdout,control_fit,SingleMuon,q90_95,498.0,422.7558375098287
Run2015D_remote_mht_aware_holdout,control_fit,SingleMuon,q95_97,180.0,192.69242276463441
Run2015D_remote_mht_aware_holdout,control_fit,SingleMuon,q97_98,86.0,92.24046622666592
Run2015D_remote_mht_aware_holdout,control_fit,SingleMuon,q98_99,85.0,88.89160413140166
Run2015D_remote_mht_aware_holdout,control_fit,SingleMuon,q99_100,70.0,104.89258790314611
Run2015D_remote_mht_aware_holdout,MET_transfer,MET,q90_95,110.0,50.51866479342459
Run2015D_remote_mht_aware_holdout,MET_transfer,MET,q95_97,47.0,22.61973113442492
Run2015D_remote_mht_aware_holdout,MET_transfer,MET,q97_98,21.0,7.288519781733315
Run2015D_remote_mht_aware_holdout,MET_transfer,MET,q98_99,24.0,5.864575573455499
Run2015D_remote_mht_aware_holdout,MET_transfer,MET,q99_100,15.0,10.220807568461066
Run2016H_remote_mht_aware,control_fit,JetHT,q90_95,296.0,30.33835533237297
Run2016H_remote_mht_aware,control_fit,JetHT,q95_97,84.0,11.846627027868935
Run2016H_remote_mht_aware,control_fit,JetHT,q97_98,59.0,7.456522829607975
Run2016H_remote_mht_aware,control_fit,JetHT,q98_99,43.0,11.029637684073913
Run2016H_remote_mht_aware,control_fit,JetHT,q99_100,66.0,20.72411311075501
Run2016H_remote_mht_aware,control_fit,SingleMuon,q90_95,1234.0,1093.4928609943622
Run2016H_remote_mht_aware,control_fit,SingleMuon,q95_97,513.0,499.11896820228196
Run2016H_remote_mht_aware,control_fit,SingleMuon,q97_98,236.0,246.81194854979654
Run2016H_remote_mht_aware,control_fit,SingleMuon,q98_99,218.0,244.73786676756993
Run2016H_remote_mht_aware,control_fit,SingleMuon,q99_100,216.0,324.51214402844613
Run2016H_remote_mht_aware,MET_transfer,MET,q90_95,226.0,161.4012632904836
Run2016H_remote_mht_aware,MET_transfer,MET,q95_97,93.0,72.19452231149937
Run2016H_remote_mht_aware,MET_transfer,MET,q97_98,46.0,26.069840283392637
Run2016H_remote_mht_aware,MET_transfer,MET,q98_99,50.0,26.572461715417887
Run2016H_remote_mht_aware,MET_transfer,MET,q99_100,46.0,41.770158677984995
Run2016G_remote_mht_aware_fresh,control_fit,JetHT,q90_95,124.0,17.979827095339655
Run2016G_remote_mht_aware_fresh,control_fit,JetHT,q95_97,41.0,7.037932895508596
Run2016G_remote_mht_aware_fresh,control_fit,JetHT,q97_98,32.0,4.427356478725754
Run2016G_remote_mht_aware_fresh,control_fit,JetHT,q98_99,19.0,6.547995421490857
Run2016G_remote_mht_aware_fresh,control_fit,JetHT,q99_100,20.0,12.30026068129827
Run2016G_remote_mht_aware_fresh,control_fit,SingleMuon,q90_95,738.0,643.359123953887
Run2016G_remote_mht_aware_fresh,control_fit,SingleMuon,q95_97,267.0,293.6658118488541
Run2016G_remote_mht_aware_fresh,control_fit,SingleMuon,q97_98,145.0,145.30561255868653
Run2016G_remote_mht_aware_fresh,control_fit,SingleMuon,q98_99,148.0,144.15999106458196
Run2016G_remote_mht_aware_fresh,control_fit,SingleMuon,q99_100,130.0,191.53045274447038
Run2016G_remote_mht_aware_fresh,MET_transfer,MET,q90_95,55.0,95.30912070858558
Run2016G_remote_mht_aware_fresh,MET_transfer,MET,q95_97,32.0,42.630945683885834
Run2016G_remote_mht_aware_fresh,MET_transfer,MET,q97_98,13.0,15.42005627728989
Run2016G_remote_mht_aware_fresh,MET_transfer,MET,q98_99,10.0,15.76321679968381
Run2016G_remote_mht_aware_fresh,MET_transfer,MET,q99_100,21.0,24.74936036479441
