primary_dataset,trigger,offline_variable,bin,total,passed,value_low,value_high,efficiency
MET,HLT_MET_high_union,MET_pt,"[0, 25)",607,387.0,1.30633,24.9888,0.6375617792421746
MET,HLT_MET_high_union,MET_pt,"[25, 50)",1246,566.0,25.0106,49.991,0.45425361155698235
MET,HLT_MET_high_union,MET_pt,"[50, 75)",1155,440.0,50.0126,74.9917,0.38095238095238093
MET,HLT_MET_high_union,MET_pt,"[75, 100)",879,324.0,75.021,99.9915,0.36860068259385664
MET,HLT_MET_high_union,MET_pt,"[100, 125)",481,242.0,100.008,124.931,0.5031185031185031
MET,HLT_MET_high_union,MET_pt,"[125, 150)",244,150.0,125.04,149.971,0.6147540983606558
MET,HLT_MET_high_union,MET_pt,"[150, 175)",141,124.0,150.067,174.926,0.8794326241134752
MET,HLT_MET_high_union,MET_pt,"[175, 200)",97,92.0,175.188,199.858,0.9484536082474226
MET,HLT_MET_high_union,MET_pt,"[200, 225)",57,56.0,200.461,224.09,0.9824561403508771
MET,HLT_MET_high_union,MET_pt,"[225, 250)",30,28.0,225.117,249.785,0.9333333333333333
MET,HLT_MET_high_union,MET_pt,"[250, 275)",14,14.0,255.034,268.679,1.0
MET,HLT_MET_high_union,MET_pt,"[275, 300)",9,9.0,275.661,298.593,1.0
MET,HLT_MET_high_union,MET_pt,"[300, 325)",10,10.0,300.423,324.078,1.0
MET,HLT_MET_high_union,MET_pt,"[325, 350)",10,10.0,325.69,348.857,1.0
MET,HLT_PFMET110_PFMHT110_IDTight,MET_pt,"[0, 25)",607,69.0,1.30633,24.9888,0.11367380560131796
MET,HLT_PFMET110_PFMHT110_IDTight,MET_pt,"[25, 50)",1246,207.0,25.0106,49.991,0.16613162118780098
MET,HLT_PFMET110_PFMHT110_IDTight,MET_pt,"[50, 75)",1155,285.0,50.0126,74.9917,0.24675324675324675
MET,HLT_PFMET110_PFMHT110_IDTight,MET_pt,"[75, 100)",879,283.0,75.021,99.9915,0.32195676905574516
MET,HLT_PFMET110_PFMHT110_IDTight,MET_pt,"[100, 125)",481,225.0,100.008,124.931,0.4677754677754678
MET,HLT_PFMET110_PFMHT110_IDTight,MET_pt,"[125, 150)",244,140.0,125.04,149.971,0.5737704918032787
MET,HLT_PFMET110_PFMHT110_IDTight,MET_pt,"[150, 175)",141,115.0,150.067,174.926,0.8156028368794326
MET,HLT_PFMET110_PFMHT110_IDTight,MET_pt,"[175, 200)",97,74.0,175.188,199.858,0.7628865979381443
MET,HLT_PFMET110_PFMHT110_IDTight,MET_pt,"[200, 225)",57,38.0,200.461,224.09,0.6666666666666666
MET,HLT_PFMET110_PFMHT110_IDTight,MET_pt,"[225, 250)",30,18.0,225.117,249.785,0.6
MET,HLT_PFMET110_PFMHT110_IDTight,MET_pt,"[250, 275)",14,10.0,255.034,268.679,0.7142857142857143
MET,HLT_PFMET110_PFMHT110_IDTight,MET_pt,"[275, 300)",9,3.0,275.661,298.593,0.3333333333333333
