primary_dataset,jet_bin,microband,n
HTMHT,0jet,q90_95,0
HTMHT,0jet,q95_97,0
HTMHT,0jet,q97_98,0
HTMHT,0jet,q98_99,0
HTMHT,0jet,q99_100,0
HTMHT,1to2jets,q90_95,128
HTMHT,1to2jets,q95_97,65
HTMHT,1to2jets,q97_98,34
HTMHT,1to2jets,q98_99,38
HTMHT,1to2jets,q99_100,63
HTMHT,3to4jets,q90_95,403
HTMHT,3to4jets,q95_97,162
HTMHT,3to4jets,q97_98,83
HTMHT,3to4jets,q98_99,79
HTMHT,3to4jets,q99_100,72
HTMHT,5plusjets,q90_95,219
HTMHT,5plusjets,q95_97,73
HTMHT,5plusjets,q97_98,33
HTMHT,5plusjets,q98_99,33
HTMHT,5plusjets,q99_100,15
JetHT,0jet,q90_95,0
JetHT,0jet,q95_97,0
JetHT,0jet,q97_98,0
JetHT,0jet,q98_99,0
JetHT,0jet,q99_100,0
JetHT,1to2jets,q90_95,157
JetHT,1to2jets,q95_97,97
JetHT,1to2jets,q97_98,67
JetHT,1to2jets,q98_99,72
JetHT,1to2jets,q99_100,62
JetHT,3to4jets,q90_95,448
JetHT,3to4jets,q95_97,173
JetHT,3to4jets,q97_98,71
JetHT,3to4jets,q98_99,69
JetHT,3to4jets,q99_100,67
JetHT,5plusjets,q90_95,145
JetHT,5plusjets,q95_97,30
JetHT,5plusjets,q97_98,12
JetHT,5plusjets,q98_99,9
JetHT,5plusjets,q99_100,21
MET,0jet,q90_95,394
MET,0jet,q95_97,168
MET,0jet,q97_98,89
MET,0jet,q98_99,91
MET,0jet,q99_100,105
MET,1to2jets,q90_95,239
MET,1to2jets,q95_97,103
MET,1to2jets,q97_98,46
MET,1to2jets,q98_99,50
MET,1to2jets,q99_100,42
MET,3to4jets,q90_95,102
MET,3to4jets,q95_97,24
MET,3to4jets,q97_98,14
MET,3to4jets,q98_99,7
MET,3to4jets,q99_100,1
MET,5plusjets,q90_95,15
MET,5plusjets,q95_97,5
MET,5plusjets,q97_98,1
MET,5plusjets,q98_99,2
MET,5plusjets,q99_100,2
SingleMuon,0jet,q90_95,0
SingleMuon,0jet,q95_97,0
SingleMuon,0jet,q97_98,0
SingleMuon,0jet,q98_99,0
SingleMuon,0jet,q99_100,0
SingleMuon,1to2jets,q90_95,453
SingleMuon,1to2jets,q95_97,175
SingleMuon,1to2jets,q97_98,85
SingleMuon,1to2jets,q98_99,81
SingleMuon,1to2jets,q99_100,63
SingleMuon,3to4jets,q90_95,243
SingleMuon,3to4jets,q95_97,106
SingleMuon,3to4jets,q97_98,57
SingleMuon,3to4jets,q98_99,61
SingleMuon,3to4jets,q99_100,70
SingleMuon,5plusjets,q90_95,54
SingleMuon,5plusjets,q95_97,19
SingleMuon,5plusjets,q97_98,8
SingleMuon,5plusjets,q98_99,8
SingleMuon,5plusjets,q99_100,17
