variant,jet_bin,met_bin,score_band,observed,met_bin_n,sm_fraction,expected_official_shape,midpoint,shape_correction,expected_shape
lepton_aware_resid,0jet,0,q000_050,182250,1189337,0.09426275114750926,112110.17766152522,0.25,1.4575351592726107,163404.52565397182
lepton_aware_resid,0jet,0,q050_080,115567,1189337,0.07263712397365353,86390.01911545316,0.65,1.330334911755126,114927.65845648003
lepton_aware_resid,0jet,0,q080_090,60316,1189337,0.04147947492445893,49333.07426823121,0.85,1.270960234390636,62700.3756351618
lepton_aware_resid,0jet,0,q090_095,56547,1189337,0.036930108318301964,43922.3442369643,0.925,1.2493843971338217,54875.89157520383
lepton_aware_resid,0jet,0,q095_0975,55836,1189337,0.04386937944094037,52175.47613614969,0.9625,1.238734221498959,64631.5478128509
lepton_aware_resid,0jet,0,q0975_099,87096,1189337,0.06423295711366905,76394.63251469981,0.9825,1.2330912984699427,94201.5566036853
lepton_aware_resid,0jet,0,q099_100,631725,1189337,0.6465882050814669,769011.2760669766,0.995,1.2295775327178566,945558.9874586436
lepton_aware_resid,0jet,1,q000_050,0,1498400,0.0,0.0,0.25,1.4575351592726107,0.0
lepton_aware_resid,0jet,1,q050_080,0,1498400,0.0,0.0,0.65,1.330334911755126,0.0
lepton_aware_resid,0jet,1,q080_090,0,1498400,0.0,0.0,0.85,1.270960234390636,0.0
lepton_aware_resid,0jet,1,q090_095,0,1498400,0.0,0.0,0.925,1.2493843971338217,0.0
lepton_aware_resid,0jet,1,q095_0975,0,1498400,0.0,0.0,0.9625,1.238734221498959,0.0
lepton_aware_resid,0jet,1,q0975_099,25178,1498400,0.0038454808067848465,5762.068440886414,0.9825,1.2330912984699427,7105.156455645306
lepton_aware_resid,0jet,1,q099_100,1473222,1498400,0.9961545191932152,1492637.9315591136,0.995,1.2295775327178566,1835314.06512754
lepton_aware_resid,0jet,2,q000_050,0,2048866,0.0,0.0,0.25,1.4575351592726107,0.0
lepton_aware_resid,0jet,2,q050_080,0,2048866,0.0,0.0,0.65,1.330334911755126,0.0
lepton_aware_resid,0jet,2,q080_090,0,2048866,0.0,0.0,0.85,1.270960234390636,0.0
lepton_aware_resid,0jet,2,q090_095,0,2048866,0.0,0.0,0.925,1.2493843971338217,0.0
lepton_aware_resid,0jet,2,q095_0975,0,2048866,0.0,0.0,0.9625,1.238734221498959,0.0
lepton_aware_resid,0jet,2,q0975_099,0,2048866,0.0,0.0,0.9825,1.2330912984699427,0.0
lepton_aware_resid,0jet,2,q099_100,2048866,2048866,1.0,2048866.0,0.995,1.2295775327178566,2519239.601149504
lepton_aware_resid,0jet,3,q000_050,0,1417354,0.0,0.0,0.25,1.4575351592726107,0.0
lepton_aware_resid,0jet,3,q050_080,0,1417354,0.0,0.0,0.65,1.330334911755126,0.0
lepton_aware_resid,0jet,3,q080_090,0,1417354,0.0,0.0,0.85,1.270960234390636,0.0
lepton_aware_resid,0jet,3,q090_095,0,1417354,0.0,0.0,0.925,1.2493843971338217,0.0
lepton_aware_resid,0jet,3,q095_0975,0,1417354,0.0,0.0,0.9625,1.238734221498959,0.0
lepton_aware_resid,0jet,3,q0975_099,0,1417354,0.0,0.0,0.9825,1.2330912984699427,0.0
lepton_aware_resid,0jet,3,q099_100,1417354,1417354,1.0,1417354.0,0.995,1.2295775327178566,1742746.634307785
lepton_aware_resid,0jet,4,q000_050,0,562969,0.0,0.0,0.25,1.4575351592726107,0.0
lepton_aware_resid,0jet,4,q050_080,0,562969,0.0,0.0,0.65,1.330334911755126,0.0
lepton_aware_resid,0jet,4,q080_090,0,562969,0.0,0.0,0.85,1.270960234390636,0.0
lepton_aware_resid,0jet,4,q090_095,0,562969,0.0,0.0,0.925,1.2493843971338217,0.0
lepton_aware_resid,0jet,4,q095_0975,0,562969,0.0,0.0,0.9625,1.238734221498959,0.0
lepton_aware_resid,0jet,4,q0975_099,0,562969,0.0,0.0,0.9825,1.2330912984699427,0.0
lepton_aware_resid,0jet,4,q099_100,562969,562969,1.0,562969.0,0.995,1.2295775327178566,692214.034016639
lepton_aware_resid,0jet,5,q000_050,0,237373,0.0,0.0,0.25,1.4575351592726107,0.0
lepton_aware_resid,0jet,5,q050_080,0,237373,0.0,0.0,0.65,1.330334911755126,0.0
lepton_aware_resid,0jet,5,q080_090,0,237373,0.0,0.0,0.85,1.270960234390636,0.0
lepton_aware_resid,0jet,5,q090_095,0,237373,0.0,0.0,0.925,1.2493843971338217,0.0
lepton_aware_resid,0jet,5,q095_0975,0,237373,0.0,0.0,0.9625,1.238734221498959,0.0
lepton_aware_resid,0jet,5,q0975_099,0,237373,0.0,0.0,0.9825,1.2330912984699427,0.0
lepton_aware_resid,0jet,5,q099_100,237373,237373,1.0,237373.0,0.995,1.2295775327178566,291868.5076738358
lepton_aware_resid,0jet,6,q000_050,0,74817,0.0,0.0,0.25,1.4575351592726107,0.0
lepton_aware_resid,0jet,6,q050_080,0,74817,0.0,0.0,0.65,1.330334911755126,0.0
lepton_aware_resid,0jet,6,q080_090,0,74817,0.0,0.0,0.85,1.270960234390636,0.0
lepton_aware_resid,0jet,6,q090_095,0,74817,0.0,0.0,0.925,1.2493843971338217,0.0
lepton_aware_resid,0jet,6,q095_0975,0,74817,0.0,0.0,0.9625,1.238734221498959,0.0
lepton_aware_resid,0jet,6,q0975_099,0,74817,0.0,0.0,0.9825,1.2330912984699427,0.0
lepton_aware_resid,0jet,6,q099_100,74817,74817,1.0,74817.0,0.995,1.2295775327178566,91993.30226535189
lepton_aware_resid,0jet,7,q000_050,0,17646,0.0,0.0,0.25,1.4575351592726107,0.0
lepton_aware_resid,0jet,7,q050_080,0,17646,0.0,0.0,0.65,1.330334911755126,0.0
lepton_aware_resid,0jet,7,q080_090,0,17646,0.0,0.0,0.85,1.270960234390636,0.0
lepton_aware_resid,0jet,7,q090_095,0,17646,0.0,0.0,0.925,1.2493843971338217,0.0
lepton_aware_resid,0jet,7,q095_0975,0,17646,0.0,0.0,0.9625,1.238734221498959,0.0
lepton_aware_resid,0jet,7,q0975_099,0,17646,0.0,0.0,0.9825,1.2330912984699427,0.0
