candidate,dataset_context,observer_projection,algebraic_projection,ordinary_qcd_axis,physical_projection,leptonic_control_axis
tri_dynamic_04,MET,0.7,0.15,-0.15,0.0,0.0
tri_dynamic_04,HTMHT,0.6,0.0,-0.15,0.25,0.0
tri_dynamic_04,JetHT,0.55,0.1,-0.35,0.0,0.0
tri_dynamic_04,SingleMuon,0.55,0.1,-0.2,0.0,-0.15
tri_dynamic_05,MET,0.7,0.15,-0.15,0.0,0.0
tri_dynamic_05,HTMHT,0.5,0.15,-0.1,0.25,0.0
tri_dynamic_05,JetHT,0.55,0.1,-0.35,0.0,0.0
tri_dynamic_05,SingleMuon,0.55,0.1,-0.2,0.0,-0.15
tri_dynamic_06,MET,0.7,0.15,-0.15,0.0,0.0
tri_dynamic_06,HTMHT,0.45,0.1,-0.1,0.35,0.0
tri_dynamic_06,JetHT,0.55,0.1,-0.35,0.0,0.0
tri_dynamic_06,SingleMuon,0.55,0.1,-0.2,0.0,-0.15
tri_dynamic_07,MET,0.7,0.15,-0.15,0.0,0.0
tri_dynamic_07,HTMHT,0.55,0.3,-0.15,0.0,0.0
tri_dynamic_07,JetHT,0.55,0.1,-0.35,0.0,0.0
tri_dynamic_07,SingleMuon,0.55,0.1,-0.2,0.0,-0.15
tri_dynamic_08,MET,0.65,0.1,-0.1,0.15,0.0
tri_dynamic_08,HTMHT,0.6,0.0,-0.15,0.25,0.0
tri_dynamic_08,JetHT,0.55,0.1,-0.35,0.0,0.0
tri_dynamic_08,SingleMuon,0.55,0.1,-0.2,0.0,-0.15
tri_dynamic_09,MET,0.65,0.1,-0.1,0.15,0.0
tri_dynamic_09,HTMHT,0.5,0.15,-0.1,0.25,0.0
tri_dynamic_09,JetHT,0.55,0.1,-0.35,0.0,0.0
tri_dynamic_09,SingleMuon,0.55,0.1,-0.2,0.0,-0.15
tri_dynamic_10,MET,0.65,0.1,-0.1,0.15,0.0
tri_dynamic_10,HTMHT,0.45,0.1,-0.1,0.35,0.0
tri_dynamic_10,JetHT,0.55,0.1,-0.35,0.0,0.0
tri_dynamic_10,SingleMuon,0.55,0.1,-0.2,0.0,-0.15
tri_dynamic_11,MET,0.65,0.1,-0.1,0.15,0.0
tri_dynamic_11,HTMHT,0.55,0.3,-0.15,0.0,0.0
tri_dynamic_11,JetHT,0.55,0.1,-0.35,0.0,0.0
tri_dynamic_11,SingleMuon,0.55,0.1,-0.2,0.0,-0.15
tri_dynamic_00,MET,0.8,0.0,-0.2,0.0,0.0
tri_dynamic_00,HTMHT,0.6,0.0,-0.15,0.25,0.0
tri_dynamic_00,JetHT,0.55,0.1,-0.35,0.0,0.0
tri_dynamic_00,SingleMuon,0.55,0.1,-0.2,0.0,-0.15
tri_dynamic_01,MET,0.8,0.0,-0.2,0.0,0.0
tri_dynamic_01,HTMHT,0.5,0.15,-0.1,0.25,0.0
tri_dynamic_01,JetHT,0.55,0.1,-0.35,0.0,0.0
tri_dynamic_01,SingleMuon,0.55,0.1,-0.2,0.0,-0.15
tri_dynamic_02,MET,0.8,0.0,-0.2,0.0,0.0
tri_dynamic_02,HTMHT,0.45,0.1,-0.1,0.35,0.0
tri_dynamic_02,JetHT,0.55,0.1,-0.35,0.0,0.0
tri_dynamic_02,SingleMuon,0.55,0.1,-0.2,0.0,-0.15
tri_dynamic_03,MET,0.8,0.0,-0.2,0.0,0.0
tri_dynamic_03,HTMHT,0.55,0.3,-0.15,0.0,0.0
tri_dynamic_03,JetHT,0.55,0.1,-0.35,0.0,0.0
tri_dynamic_03,SingleMuon,0.55,0.1,-0.2,0.0,-0.15
