event_id,source_file,source_entry,extraction_mode,full_boundary_features_available,jet_only_features_available,MET_pt,MET_phi,N_jets,N_jets_30,N_jets_50,HT,leading_jet_pt,subleading_jet_pt,leading_jet_eta,jet_mass_sum_30,N_leptons,N_muons,N_electrons,N_btags_loose,N_btags_medium,N_btags_tight,N_b_hadron_flavour_proxy,N_PF_candidates,event_weight,missing_MET,missing_leptons,missing_btags
0,0438B51F-9A50-8642-9963-CDB942DD12D9.root,0,uproot_edm_partial_jets,0,1,,,2,2,1,143.98879623413086,104.42098999023438,39.567806243896484,1.0888187885284424,18.996085166931152,,,,,,,0,,1.0,1,1,1
1,0438B51F-9A50-8642-9963-CDB942DD12D9.root,1,uproot_edm_partial_jets,0,1,,,2,2,2,216.28884506225586,156.26116943359375,60.02767562866211,1.1052417755126953,30.525419235229492,,,,,,,0,,1.0,1,1,1
2,0438B51F-9A50-8642-9963-CDB942DD12D9.root,2,uproot_edm_partial_jets,0,1,,,3,3,1,172.16184997558594,90.07363891601562,43.89142990112305,0.7402457594871521,33.323025703430176,,,,,,,0,,1.0,1,1,1
3,0438B51F-9A50-8642-9963-CDB942DD12D9.root,3,uproot_edm_partial_jets,0,1,,,5,5,3,376.7037010192871,167.31570434570312,81.27554321289062,1.8825398683547974,64.03104972839355,,,,,,,0,,1.0,1,1,1
4,0438B51F-9A50-8642-9963-CDB942DD12D9.root,4,uproot_edm_partial_jets,0,1,,,4,4,3,278.7610626220703,102.52848815917969,87.53932189941406,0.6409635543823242,40.05648994445801,,,,,,,0,,1.0,1,1,1
5,0438B51F-9A50-8642-9963-CDB942DD12D9.root,5,uproot_edm_partial_jets,0,1,,,2,2,2,326.56681060791016,227.0672607421875,99.49954986572266,0.14686031639575958,47.34198760986328,,,,,,,0,,1.0,1,1,1
6,0438B51F-9A50-8642-9963-CDB942DD12D9.root,6,uproot_edm_partial_jets,0,1,,,2,2,2,163.62326431274414,109.76441955566406,53.85884475708008,-1.9029000997543335,23.476123809814453,,,,,,,0,,1.0,1,1,1
7,0438B51F-9A50-8642-9963-CDB942DD12D9.root,7,uproot_edm_partial_jets,0,1,,,3,3,1,236.44051361083984,164.78024291992188,36.1272087097168,0.9899725317955017,50.31332874298096,,,,,,,0,,1.0,1,1,1
8,0438B51F-9A50-8642-9963-CDB942DD12D9.root,8,uproot_edm_partial_jets,0,1,,,2,2,2,221.39678192138672,157.96762084960938,63.429161071777344,-1.7222399711608887,45.88222026824951,,,,,,,0,,1.0,1,1,1
9,0438B51F-9A50-8642-9963-CDB942DD12D9.root,9,uproot_edm_partial_jets,0,1,,,2,2,2,265.25384521484375,210.2906494140625,54.96319580078125,-1.752161979675293,28.840025424957275,,,,,,,0,,1.0,1,1,1
10,0438B51F-9A50-8642-9963-CDB942DD12D9.root,10,uproot_edm_partial_jets,0,1,,,5,5,3,512.3386344909668,224.75450134277344,106.18338775634766,1.427159309387207,67.66264247894287,,,,,,,0,,1.0,1,1,1
11,0438B51F-9A50-8642-9963-CDB942DD12D9.root,11,uproot_edm_partial_jets,0,1,,,2,2,2,182.5403060913086,129.68035888671875,52.859947204589844,-1.6704312562942505,35.1771354675293,,,,,,,0,,1.0,1,1,1
12,0438B51F-9A50-8642-9963-CDB942DD12D9.root,12,uproot_edm_partial_jets,0,1,,,2,2,2,233.05620574951172,157.05133056640625,76.00487518310547,-1.6663029193878174,44.368783950805664,,,,,,,0,,1.0,1,1,1
13,0438B51F-9A50-8642-9963-CDB942DD12D9.root,13,uproot_edm_partial_jets,0,1,,,4,4,3,385.8729667663574,148.52392578125,100.96434020996094,0.44143930077552795,53.82282733917236,,,,,,,0,,1.0,1,1,1
14,0438B51F-9A50-8642-9963-CDB942DD12D9.root,14,uproot_edm_partial_jets,0,1,,,4,4,4,465.5025520324707,256.9427795410156,99.39105987548828,0.5698608160018921,63.4145565032959,,,,,,,0,,1.0,1,1,1
15,0438B51F-9A50-8642-9963-CDB942DD12D9.root,15,uproot_edm_partial_jets,0,1,,,2,2,2,331.2696533203125,215.1643829345703,116.10527038574219,-1.6058027744293213,43.65564250946045,,,,,,,0,,1.0,1,1,1
16,0438B51F-9A50-8642-9963-CDB942DD12D9.root,16,uproot_edm_partial_jets,0,1,,,1,1,1,174.48928833007812,174.48928833007812,14.299603462219238,1.2907025814056396,9.779938697814941,,,,,,,0,,1.0,1,1,1
17,0438B51F-9A50-8642-9963-CDB942DD12D9.root,17,uproot_edm_partial_jets,0,1,,,2,2,2,217.4619598388672,152.78001403808594,64.68194580078125,-1.6682475805282593,40.96195888519287,,,,,,,0,,1.0,1,1,1
18,0438B51F-9A50-8642-9963-CDB942DD12D9.root,18,uproot_edm_partial_jets,0,1,,,2,2,2,242.3685302734375,156.85479736328125,85.51373291015625,-1.696524739265442,46.68250751495361,,,,,,,0,,1.0,1,1,1
19,0438B51F-9A50-8642-9963-CDB942DD12D9.root,19,uproot_edm_partial_jets,0,1,,,2,2,1,222.3432731628418,187.74339294433594,34.59988021850586,-1.7348202466964722,62.93585157394409,,,,,,,0,,1.0,1,1,1
