,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
MET_pt,0.0,,,,,,,,,,,
HT,131708.0,338.55835892853145,2017.0785445779738,0.0,0.0,84.95274715423584,189.641583442688,235.26975631713867,337.6762294769287,632.3955165863036,940.8145539093011,76525.32234191895
N_jets_30,131708.0,2.467632945606949,1.5094716643576782,0.0,0.0,1.0,2.0,2.0,3.0,5.0,6.0,45.0
N_jets_50,131708.0,1.9643833328271632,1.3584489249229448,0.0,0.0,1.0,1.0,2.0,2.0,4.0,5.0,45.0
leading_jet_pt,131686.0,181.1305790518906,150.66451164482027,10.044437408447266,19.719704341888427,74.15706634521484,132.45616912841797,154.28350830078125,203.17477798461914,351.9315185546875,512.1164337158202,8875.71875
N_leptons,0.0,,,,,,,,,,,
N_btags_medium,0.0,,,,,,,,,,,
MET_fraction,0.0,,,,,,,,,,,
S_event_proxy,131708.0,1.185957958570126,0.33753261246517885,0.0,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,1.3862943611198906,1.791759469228055,1.9459101490553132,3.828641396489095
B_event_jetonly_z,131708.0,-5.0711435266991694e-18,1.0000037962982296,-1.935964350440686,-1.935964350440686,-0.9345617884192844,-0.17855051678905923,-0.1684493596448733,0.2795889398231493,1.154308414554088,1.8356803204947203,30.03597990765101
B_event_z,131708.0,2.1579334156166677e-18,1.0000037962982296,-2.0699537663128917,-2.0699537663128917,-0.9946280254037222,-0.24981132168018585,-0.23891984573815556,0.3616657252905528,1.3514644752756246,1.8512748260104062,28.689307788836075
