event_id,source_file,source_entry,extraction_mode,full_boundary_features_available,jet_only_features_available,MET_pt,MET_phi,N_jets,N_jets_30,N_jets_50,HT,leading_jet_pt,subleading_jet_pt,leading_jet_eta,jet_mass_sum_30,N_leptons,N_muons,N_electrons,N_btags_loose,N_btags_medium,N_btags_tight,N_b_hadron_flavour_proxy,N_PF_candidates,event_weight,missing_MET,missing_leptons,missing_btags,MET_fraction,N_objects,Visible_HT,Nb_missing,S_event_proxy,high_MET,high_multiplicity,R_reconstruction,B_event_jetonly,B_event_jetonly_z,B_event,B_event_z,B_event_status,isolation_score,lof_score,robust_mahalanobis,boundary_outlier_score
53670,4BF81994-E99D-2D45-8C35-E5B7BDC8BB89.root,7357,uproot_edm_partial_jets,0,1,,,3,3,3,3009.7338256835938,2785.292724609375,131.51235961914062,-0.3176283538341522,347.42610692977905,,,,,,,0,,1.0,1,1,1,,3.0,3009.7338256835938,1,1.3862943611198906,0,0,0.35268570320841036,3.0328595210433744,0.8682713200492642,2.270504323374606,0.8840528555491963,partial_jet_level_real_miniaod,0.6647647314282199,1,5609.3325753477875,2.867813648373675
71377,4BF81994-E99D-2D45-8C35-E5B7BDC8BB89.root,25064,uproot_edm_partial_jets,0,1,,,3,3,3,2161.735595703125,932.4010620117188,644.5232543945312,0.18457522988319397,231.70994567871094,,,,,,,0,,1.0,1,1,1,,3.0,2161.735595703125,1,1.3862943611198906,0,0,0.35268570320841036,2.6124487980627915,0.747912770346429,1.8500936003940232,0.7203600158887602,partial_jet_level_real_miniaod,0.6631488422528836,-1,3171.4183531777658,2.8381191727154005
72646,4BF81994-E99D-2D45-8C35-E5B7BDC8BB89.root,26333,uproot_edm_partial_jets,0,1,,,3,3,3,2071.5250244140625,893.6264038085938,657.3189086914062,-1.5969289541244507,266.86505126953125,,,,,,,0,,1.0,1,1,1,,3.0,2071.5250244140625,1,1.3862943611198906,0,0,0.35268570320841036,2.567725247758919,0.735108954083197,1.805370050090151,0.7029462713081414,partial_jet_level_real_miniaod,0.6626339041410675,-1,2876.4693737273105,2.8379141737783584
86029,9C668317-D15E-6349-802E-07E191108980.root,5450,uproot_edm_partial_jets,0,1,,,3,3,3,1864.3274154663086,983.4896850585938,814.5849609375,0.1472773551940918,88.1711368560791,,,,,,,0,,1.0,1,1,1,,3.0,1864.3274154663086,1,1.3862943611198906,0,0,0.35268570320841036,2.4650032213466946,0.7057008694514387,1.7026480236779262,0.6629500027070953,partial_jet_level_real_miniaod,0.6590987841288553,-1,1448.0377872327454,2.8367525131351172
113117,A070E244-088C-F241-BAF7-17B1707FD096.root,15465,uproot_edm_partial_jets,0,1,,,3,3,3,1658.026107788086,1155.5870361328125,316.6932373046875,1.2671822309494019,141.02498245239258,,,,,,,0,,1.0,1,1,1,,3.0,1658.026107788086,1,1.3862943611198906,0,0,0.35268570320841036,2.3627255527779303,0.6764199991428755,1.600370355109162,0.6231267510945449,partial_jet_level_real_miniaod,0.6574937194205169,-1,705.1321759990195,2.83581862908859
38507,154D5639-79E6-914A-B36C-2EE986A9A5E0.root,14738,uproot_edm_partial_jets,0,1,,,3,3,3,1657.8250732421875,876.7056274414062,414.8084411621094,0.9317535161972046,138.13047409057617,,,,,,,0,,1.0,1,1,1,,3.0,1657.8250732421875,1,1.3862943611198906,0,0,0.35268570320841036,2.3626258862034053,0.6763914657974874,1.6002706885346374,0.6230879445091955,partial_jet_level_real_miniaod,0.6566046186040184,-1,1079.2328765170505,2.835556686002369
8039,0438B51F-9A50-8642-9963-CDB942DD12D9.root,8039,uproot_edm_partial_jets,0,1,,,3,3,3,1453.111011505127,1131.5587158203125,266.58258056640625,0.43361982703208923,180.77833557128906,,,,,,,0,,1.0,1,1,1,,3.0,1453.111011505127,1,1.3862943611198906,0,0,0.35268570320841036,2.261135124010244,0.6473358773500719,1.4987799263414763,0.5835710859835201,partial_jet_level_real_miniaod,0.6569959282798915,-1,629.1777223389128,2.8354845567467426
118558,A070E244-088C-F241-BAF7-17B1707FD096.root,20906,uproot_edm_partial_jets,0,1,,,3,3,3,1605.7738800048828,832.8237915039062,581.5581665039062,0.9844492673873901,125.50396347045898,,,,,,,0,,1.0,1,1,1,,3.0,1605.7738800048828,1,1.3862943611198906,0,0,0.35268570320841036,2.3368205495797647,0.6690037073012364,1.5744653519109968,0.6130402730312434,partial_jet_level_real_miniaod,0.6563825313217602,-1,1044.9466023520831,2.8354617790870713
122344,ED10716D-8AF9-DA43-A815-110D277A790B.root,2120,uproot_edm_partial_jets,0,1,,,3,3,3,1629.460304260254,928.67236328125,638.2800903320312,0.09045679122209549,190.74093437194824,,,,,,,0,,1.0,1,1,1,,3.0,1629.460304260254,1,1.3862943611198906,0,0,0.35268570320841036,2.348563530159164,0.6723655818550174,1.5862083324903957,0.6176125680086195,partial_jet_level_real_miniaod,0.6566046186040184,-1,865.1460311218143,2.8354503902572357
88112,9C668317-D15E-6349-802E-07E191108980.root,7533,uproot_edm_partial_jets,0,1,,,3,3,3,1579.603172302246,824.7435913085938,676.1140747070312,0.10815645009279251,99.98025703430176,,,,,,,0,,1.0,1,1,1,,3.0,1579.603172302246,1,1.3862943611198906,0,0,0.35268570320841036,2.323845939778477,0.6652892320671799,1.5614907421097093,0.6079884258595029,partial_jet_level_real_miniaod,0.6563825313217602,-1,986.6790601678234,2.835408631214505
