event_id,source_file,source_entry,extraction_mode,full_boundary_features_available,jet_only_features_available,MET_pt,MET_phi,N_jets,N_jets_30,N_jets_50,HT,leading_jet_pt,subleading_jet_pt,leading_jet_eta,jet_mass_sum_30,N_leptons,N_muons,N_electrons,N_btags_loose,N_btags_medium,N_btags_tight,N_b_hadron_flavour_proxy,N_PF_candidates,event_weight,missing_MET,missing_leptons,missing_btags,MET_fraction,N_objects,Visible_HT,Nb_missing,S_event_proxy,high_MET,high_multiplicity,R_reconstruction,B_event_jetonly,B_event_jetonly_z,B_event,B_event_z,B_event_status,N_PF_muon_proxy,N_PF_electron_proxy,N_PF_photon_proxy,N_PF_charged_hadron_proxy,N_PF_neutral_hadron_proxy,N_isolated_charged_hadron,packed_pt_word_sum,N_primary_vertices,N_good_primary_vertices,leading_pv_ndof,pv_abs_z_max,S_reco_proxy,B_event_reco,B_event_reco_z,enhanced_reco_proxy_available
17169,0438B51F-9A50-8642-9963-CDB942DD12D9.root,17169,uproot_edm_partial_jets,0,1,,,45,45,44,76333.57307434082,5143.93798828125,4654.4013671875,-1.774585247039795,18366.753499895334,,,,,,,0,3727,1.0,1,1,1,,45.0,76333.57307434082,1,3.828641396489095,0,1,29.177096347178907,104.6264197466302,29.953289611706932,73.68246927805122,28.689307788836075,partial_jet_level_real_miniaod,1,22,1512,1213,185,1,63695879,45,37,36.888912200927734,12.770562171936035,4.798019464668701,112.97975407519672,25.186066386490964,1
46312,154D5639-79E6-914A-B36C-2EE986A9A5E0.root,22543,uproot_edm_partial_jets,0,1,,,45,45,45,75431.33640289307,4759.67578125,4356.73828125,1.753998875617981,18423.31257390976,,,,,,,0,3478,1.0,1,1,1,,45.0,75431.33640289307,1,3.828641396489095,0,1,29.177096347178907,104.91525578849976,30.03597990765101,73.23516884989859,28.515145063521825,partial_jet_level_real_miniaod,1,12,1559,983,138,2,60105819,28,27,99.06086730957031,7.477122783660889,4.698478363121743,110.20728353058189,24.568012047792507,1
52076,4BF81994-E99D-2D45-8C35-E5B7BDC8BB89.root,5763,uproot_edm_partial_jets,0,1,,,40,40,40,75764.72019195557,4418.67724609375,4266.94921875,-1.7338147163391113,18230.34303188324,,,,,,,0,3768,1.0,1,1,1,,40.0,75764.72019195557,1,3.713572066704308,0,1,25.86466650861099,97.7465102321984,27.983654000671404,69.74710564370822,27.15701849841336,partial_jet_level_real_miniaod,0,21,1550,1228,188,5,64341144,38,34,106.17876434326172,9.095879554748535,4.767969076293182,107.97244698128938,24.069810027844984,1
86230,9C668317-D15E-6349-802E-07E191108980.root,5651,uproot_edm_partial_jets,0,1,,,43,43,43,76149.97174835205,4472.52734375,4255.95361328125,-1.8165977001190186,18538.408895492554,,,,,,,0,3536,1.0,1,1,1,,43.0,76149.97174835205,1,3.784189633918261,0,1,27.852124411751742,102.34259090578963,29.29945679530236,72.13477690723286,28.08669195329339,partial_jet_level_real_miniaod,0,12,1563,977,204,2,60956141,27,25,127.18930053710938,7.683964729309082,4.666829566374819,107.41035104115059,23.944504518200397,1
69183,4BF81994-E99D-2D45-8C35-E5B7BDC8BB89.root,22870,uproot_edm_partial_jets,0,1,,,44,44,44,75342.97286224365,4842.15625,4384.8203125,1.7359747886657715,18113.94462120533,,,,,,,0,3344,1.0,1,1,1,,44.0,75342.97286224365,1,3.8066624897703196,0,1,28.514610379465324,103.40770885827015,29.60438729544312,72.46375838969117,28.214785529683414,partial_jet_level_real_miniaod,1,8,1592,864,139,1,58155529,28,26,161.0177764892578,8.417139053344727,4.658142070754197,107.25743298055387,23.910415185492884,1
35203,154D5639-79E6-914A-B36C-2EE986A9A5E0.root,11434,uproot_edm_partial_jets,0,1,,,43,43,42,75585.54583740234,4835.7548828125,4640.02880859375,1.7526642084121704,18244.300844669342,,,,,,,0,3381,1.0,1,1,1,,43.0,75585.54583740234,1,3.784189633918261,0,1,27.852124411751742,101.32662990677426,29.008599341598014,71.85495237823967,27.97773832948286,partial_jet_level_real_miniaod,3,8,1577,861,168,1,58693789,29,29,87.07555389404297,7.251512050628662,4.680370418551027,106.12814053097837,23.65866711932307,1
63403,4BF81994-E99D-2D45-8C35-E5B7BDC8BB89.root,17090,uproot_edm_partial_jets,0,1,,,43,43,42,75558.04431533813,4837.9169921875,4371.7216796875,-1.828908085823059,18261.616131663322,,,,,,,0,3440,1.0,1,1,1,,43.0,75558.04431533813,1,3.784189633918261,0,1,27.852124411751742,101.31299552127047,29.004695980490354,71.84131799273588,27.972429589343413,partial_jet_level_real_miniaod,3,14,1557,941,140,0,59542145,33,27,39.15311050415039,10.975808143615723,4.657762636107262,105.27683444965369,23.468889298907598,1
52075,4BF81994-E99D-2D45-8C35-E5B7BDC8BB89.root,5762,uproot_edm_partial_jets,0,1,,,42,42,42,75265.47766113281,4953.52001953125,4379.81689453125,1.7985506057739258,18360.6890001297,,,,,,,0,3263,1.0,1,1,1,,42.0,75265.47766113281,1,3.7612001156935624,0,1,27.18963844403816,100.4373534843219,28.754010163347594,70.96567595578732,27.63148602220995,partial_jet_level_real_miniaod,1,9,1520,832,138,2,56742312,29,26,99.57422637939453,7.231624603271484,4.640826863196126,104.53627213595021,23.303799086515607,1
103257,A070E244-088C-F241-BAF7-17B1707FD096.root,5605,uproot_edm_partial_jets,0,1,,,43,43,42,75269.70655441284,4402.11962890625,4365.18310546875,-1.7228037118911743,18234.095700263977,,,,,,,0,3120,1.0,1,1,1,,43.0,75269.70655441284,1,3.784189633918261,0,1,27.852124411751742,101.1700467717949,28.963771467322054,71.69836924326032,27.916770479219707,partial_jet_level_real_miniaod,2,9,1563,675,125,3,54580163,24,23,140.1683349609375,8.176238059997559,4.617098756853365,104.42072592091033,23.27804089057578,1
46311,154D5639-79E6-914A-B36C-2EE986A9A5E0.root,22542,uproot_edm_partial_jets,0,1,,,41,41,40,75099.35374832153,4324.43408203125,4311.18212890625,-1.7409266233444214,18146.858329847742,,,,,,,0,3261,1.0,1,1,1,,41.0,75099.35374832153,1,3.7376696182833684,0,1,26.527152476324574,98.15052207001668,28.099317746157816,70.15111748152651,27.314326201033403,partial_jet_level_real_miniaod,1,11,1545,847,112,3,56643721,39,32,33.99689483642578,10.757288932800293,4.696928611227632,104.38982496025102,23.271152278957334,1
46310,154D5639-79E6-914A-B36C-2EE986A9A5E0.root,22541,uproot_edm_partial_jets,0,1,,,43,43,41,74995.66521835327,4813.2822265625,4271.80615234375,1.775130271911621,18469.920346021652,,,,,,,0,3189,1.0,1,1,1,,43.0,74995.66521835327,1,3.784189633918261,0,1,27.852124411751742,100.29804926793301,28.714129036307856,71.56250820942063,27.863871071062963,partial_jet_level_real_miniaod,2,4,1575,696,166,3,55787291,26,24,81.08531188964844,6.962640762329102,4.633660456387719,104.12273908154133,23.211612030112402,1
