,count,mean,std,min,1%,5%,50%,95%,99%,max
HT,131708.0,338.55835892853145,2017.0785445779738,0.0,0.0,84.95274715423584,235.26975631713867,632.3955165863036,940.8145539093011,76525.32234191895
N_jets_30,131708.0,2.467632945606949,1.5094716643576782,0.0,0.0,1.0,2.0,5.0,6.0,45.0
N_PF_candidates,131708.0,1696.687103289094,250.12325633875847,234.0,1177.0,1319.0,1682.0,2122.0,2358.0,3768.0
N_PF_muon_proxy,131708.0,1.9090715825917939,1.546928007196202,0.0,0.0,0.0,2.0,5.0,6.0,13.0
N_PF_electron_proxy,131708.0,0.40232939532906126,0.6837371782881945,0.0,0.0,0.0,0.0,2.0,3.0,22.0
N_isolated_charged_hadron,131708.0,2.385678926109272,1.8606287953678657,0.0,0.0,0.0,2.0,6.0,8.0,14.0
N_primary_vertices,131708.0,24.605096121723815,5.3429694849782114,1.0,14.0,16.0,24.0,34.0,39.0,67.0
N_good_primary_vertices,131708.0,22.066040027940595,4.917670167319794,0.0,12.0,14.0,22.0,30.0,35.0,56.0
S_reco_proxy,131708.0,3.7893553186365807,0.17470853654761997,1.205970806988609,3.356548629993273,3.5004392163118045,3.795938526407344,4.055776969072842,4.163870624870711,4.798019464668701
B_event_reco_z,131708.0,-3.0211067818633348e-18,1.0000037962982298,-6.610352568209318,-1.8248886762889804,-1.2675615669462532,-0.043357924206271437,1.3414216610998333,2.02033976762745,25.186066386490964
