analysis,experiment,source_type,source_url,source_title,source_confidence,notes
ATLAS-SUSY-2015-02-eff,ATLAS,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR1/dataInfo.txt,SModelS dataInfo/globalInfo metadata,HIGH,Local public SModelS metadata already present in table.
ATLAS-SUSY-2015-02-eff,ATLAS,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1606.03903,HEPData search candidate,MEDIUM,Candidate search URL; table-level confirmation still required.
ATLAS-SUSY-2015-02-eff,ATLAS,paper_or_aux,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2015-02/,Phys. Rev. D 94 (2016) 052009,MEDIUM,Candidate public paper/auxiliary URL from globalInfo.
ATLAS-SUSY-2015-06-eff,ATLAS,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jl/dataInfo.txt,SModelS dataInfo/globalInfo metadata,HIGH,Local public SModelS metadata already present in table.
ATLAS-SUSY-2015-06-eff,ATLAS,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1605.03814,HEPData search candidate,MEDIUM,Candidate search URL; table-level confirmation still required.
ATLAS-SUSY-2015-06-eff,ATLAS,paper_or_aux,http://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2015-06/,Eur. Phys. J. C 76 (2016) 392,MEDIUM,Candidate public paper/auxiliary URL from globalInfo.
ATLAS-SUSY-2016-06-eff,ATLAS,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-06-eff/SR_EW/dataInfo.txt,SModelS dataInfo/globalInfo metadata,HIGH,Local public SModelS metadata already present in table.
ATLAS-SUSY-2016-06-eff,ATLAS,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1712.02118,HEPData search candidate,MEDIUM,Candidate search URL; table-level confirmation still required.
ATLAS-SUSY-2016-06-eff,ATLAS,paper_or_aux,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-06/,JHEP 06 (2018) 022,MEDIUM,Candidate public paper/auxiliary URL from globalInfo.
ATLAS-SUSY-2016-07-eff,ATLAS,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_1200/dataInfo.txt,SModelS dataInfo/globalInfo metadata,HIGH,Local public SModelS metadata already present in table.
