analysis,experiment,n_signal_regions,missing_MET,missing_HT,missing_meff,missing_Njets,missing_Nleptons,missing_Nb,missing_lifetime,missing_displacement,missing_compression,missing_topology,priority_score,candidate_arxiv,candidate_hepdata_url,status
ATLAS-SUSY-2018-22-multibin-eff,ATLAS,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,368.8913884188896,,https://www.hepdata.net/search/?q=ATLAS-SUSY-2018-22-multibin-eff,queued
ATLAS-SUSY-2018-16-eff,ATLAS,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,357.3349016129925,,https://www.hepdata.net/search/?q=ATLAS-SUSY-2018-16-eff,queued
ATLAS-SUSY-2018-42-eff,ATLAS,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,323.1482768810341,,https://www.hepdata.net/search/?q=ATLAS-SUSY-2018-42-eff,queued
ATLAS-SUSY-2019-09-eff,ATLAS,54,1.0,1.0,1.0,0.6851851851851852,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,313.5279666919942,,https://www.hepdata.net/search/?q=ATLAS-SUSY-2019-09-eff,queued
ATLAS-SUSY-2019-02-eff,ATLAS,58,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.41379310344827586,1.0,1.0,1.0,1.0,1.0,246.31945352924546,,https://www.hepdata.net/search/?q=ATLAS-SUSY-2019-02-eff,queued
CMS-SUS-21-002-eff,CMS,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9142857142857143,215.18020077472542,,https://www.hepdata.net/search/?q=CMS-SUS-21-002-eff,queued
ATLAS-SUSY-2018-05-strong-eff,ATLAS,29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,183.330391285466,,https://www.hepdata.net/search/?q=ATLAS-SUSY-2018-05-strong-eff,queued
CMS-SUS-20-004-eff,CMS,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7727272727272727,144.78993910128887,,https://www.hepdata.net/search/?q=CMS-SUS-20-004-eff,queued
CMS-SUS-16-048-ma5,CMS,21,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.3333333333333333,125.02455702009333,,https://www.hepdata.net/search/?q=CMS-SUS-16-048-ma5,queued
ATLAS-SUSY-2018-32-eff,ATLAS,36,1.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.0,1.0,1.0,1.0,109.71339197477761,,https://www.hepdata.net/search/?q=ATLAS-SUSY-2018-32-eff,queued
ATLAS-SUSY-2018-10-eff,ATLAS,26,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,109.22099243552795,,https://www.hepdata.net/search/?q=ATLAS-SUSY-2018-10-eff,queued
CMS-PAS-SUS-16-052-agg,CMS,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,108.27494014085381,,https://www.hepdata.net/search/?q=CMS-PAS-SUS-16-052-agg,queued
ATLAS-SUSY-2018-08-eff,ATLAS,18,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,99.55023398617658,,https://www.hepdata.net/search/?q=ATLAS-SUSY-2018-08-eff,queued
ATLAS-SUSY-2016-07-eff,ATLAS,22,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,94.03869661235667,,https://www.hepdata.net/search/?q=ATLAS-SUSY-2016-07-eff,queued
ATLAS-SUSY-2018-22-eff,ATLAS,18,1.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,92.64976105749497,,https://www.hepdata.net/search/?q=ATLAS-SUSY-2018-22-eff,queued
ATLAS-SUSY-2018-12-eff,ATLAS,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,91.75000417867726,,https://www.hepdata.net/search/?q=ATLAS-SUSY-2018-12-eff,queued
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.84587125457364,,https://www.hepdata.net/search/?q=ATLAS-SUSY-2018-05-ewk-eff,queued
CMS-SUS-19-006-agg,CMS,40,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.125,84.43466997867024,,https://www.hepdata.net/search/?q=CMS-SUS-19-006-agg,queued
CMS-SUS-16-050-agg,CMS,39,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,80.5495078926056,,https://www.hepdata.net/search/?q=CMS-SUS-16-050-agg,queued
CMS-SUS-16-039-agg,CMS,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.12382240802187,,https://www.hepdata.net/search/?q=CMS-SUS-16-039-agg,queued
