analysis,experiment,sqrt_s,luminosity,signal_region,N_obs,N_exp,sigma_exp,MET,HT_or_meff,N_jets,N_leptons,N_btags,category
ATLAS-SUSY-2015-02-eff,ATLAS,13.0,3.2,SR1,12.0,5.5,0.72,,,,,,
ATLAS-SUSY-2015-02-eff,ATLAS,13.0,3.2,SR2,1.0,1.25,0.26,,,,,,
ATLAS-SUSY-2015-02-eff,ATLAS,13.0,3.2,SR3,1.0,1.03,0.18,,,,,,
ATLAS-SUSY-2015-06-eff,ATLAS,13.0,3.2,SR2jl,263.0,283.0,24.0,,,2.0,,,
ATLAS-SUSY-2015-06-eff,ATLAS,13.0,3.2,SR2jm,191.0,191.0,21.0,,,2.0,,,
ATLAS-SUSY-2015-06-eff,ATLAS,13.0,3.2,SR2jt,26.0,23.0,4.0,,,2.0,,,
ATLAS-SUSY-2015-06-eff,ATLAS,13.0,3.2,SR4jt,7.0,4.1,1.1,,,4.0,,,
ATLAS-SUSY-2015-06-eff,ATLAS,13.0,3.2,SR5j,7.0,13.2,2.2,,,5.0,,,
ATLAS-SUSY-2015-06-eff,ATLAS,13.0,3.2,SR6jm,4.0,6.9,1.5,,,6.0,,,
ATLAS-SUSY-2015-06-eff,ATLAS,13.0,3.2,SR6jt,3.0,4.2,1.2,,,6.0,,,
ATLAS-SUSY-2016-06-eff,ATLAS,13.0,36.1,SR_EW,9.0,11.8,3.1,,,,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,2j_Meff_1200,611.0,526.0,31.0,,1200.0,2.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,2j_Meff_1600,216.0,228.0,19.0,,1600.0,2.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,2j_Meff_2000,73.0,90.0,10.0,,2000.0,2.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,2j_Meff_2100,190.0,153.0,14.0,,2100.0,2.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,2j_Meff_2400,34.0,42.0,4.0,,2400.0,2.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,2j_Meff_2800,19.0,17.3,2.0,,2800.0,2.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,2j_Meff_3600,5.0,3.6,0.9,,3600.0,2.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,3j_Meff_1300,429.0,390.0,29.0,,1300.0,3.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,4j_Meff_1000,142.0,124.0,12.0,,1000.0,4.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,4j_Meff_1400,199.0,182.0,16.0,,1400.0,4.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,4j_Meff_1800,55.0,49.0,7.0,,1800.0,4.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,4j_Meff_2200,24.0,16.5,2.7,,2200.0,4.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,4j_Meff_2600,4.0,5.8,2.0,,2600.0,4.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,4j_Meff_3000,2.0,2.0,0.6,,3000.0,4.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,5j_Meff_1600,135.0,128.0,14.0,,1600.0,5.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,5j_Meff_1700,49.0,43.0,5.0,,1700.0,5.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,5j_Meff_2000,59.0,65.0,7.0,,2000.0,5.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,5j_Meff_2600,10.0,9.4,2.1,,2600.0,5.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,6j_Meff_1200,276.0,274.0,32.0,,1200.0,6.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,6j_Meff_1800,9.0,5.1,1.8,,1800.0,6.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,6j_Meff_2200,3.0,3.1,1.3,,2200.0,6.0,,,
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,6j_Meff_2600,1.0,2.2,1.4,,2600.0,6.0,,,
ATLAS-SUSY-2016-16-eff,ATLAS,13.0,36.0,bWN,68.0,71.0,16.0,,,,,,
ATLAS-SUSY-2016-16-eff,ATLAS,13.0,36.0,bffN,70.0,60.5,6.1,,,,,,
ATLAS-SUSY-2016-16-eff,ATLAS,13.0,36.0,tN_diag_high,19.0,18.3,2.2,,,,,,
ATLAS-SUSY-2016-16-eff,ATLAS,13.0,36.0,tN_diag_low,34.0,30.3,5.9,,,,,,
ATLAS-SUSY-2016-16-eff,ATLAS,13.0,36.0,tN_diag_med,115.0,115.0,31.0,,,,,,
ATLAS-SUSY-2016-16-eff,ATLAS,13.0,36.0,tN_high,8.0,3.8,1.0,,,,,,
ATLAS-SUSY-2016-16-eff,ATLAS,13.0,36.0,tN_med,50.0,36.3,6.6,,,,,,
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,SR2-SF-loose,153.0,133.0,22.0,,,,2.0,,
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,SR2-SF-tight,9.0,9.8,2.9,,,,2.0,,
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,SR2-high,0.0,1.6,1.6,,,,,,
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,SR2-int,2.0,4.1,2.6,,,,,,
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,SR2-low,11.0,4.2,3.4,,,,2.0,,
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,WZ-0Ja,21.0,21.7,2.9,,,0.0,,,
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,WZ-0Jb,1.0,2.7,0.5,,,0.0,,,
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,WZ-0Jc,2.0,1.6,0.3,,,0.0,,,
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,WZ-1Ja,1.0,2.2,0.5,,,1.0,,,
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,WZ-1Jb,3.0,1.8,0.3,,,1.0,,,
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,WZ-1Jc,4.0,1.3,0.3,,,1.0,,,
ATLAS-SUSY-2016-27-eff,ATLAS,13.0,36.1,SRyy-SH,0.0,0.48,0.275,,,,,,
ATLAS-SUSY-2016-27-eff,ATLAS,13.0,36.1,SRyy-SL,0.0,0.5,0.28,,,,,,
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR1FULL_175,227.0,240.0,20.0,,,,,,
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR1FULL_375,16.0,17.0,2.0,,,,,,
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR1FULL_600,1.0,2.2,0.2,,,,,,
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR1FULL_825,0.0,0.48,0.07,,,,,,
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR2FULL_150,0.0,1.5,0.3,,,,,,
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR2FULL_350,0.0,0.06,0.01,,,,,,
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR2FULL_575,0.0,0.007,0.002,,,,,,
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR2FULL_800,0.0,0.0017,0.0009,,,,,,
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR2l_High,0.0,1.9,0.8,,,,2.0,,
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR2l_ISR,11.0,2.7,2.8,,,,2.0,,compressed
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR2l_Int,1.0,2.4,0.9,,,,2.0,,
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR2l_Low,19.0,8.4,5.8,,,,2.0,,
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR3l_High,2.0,1.1,0.5,,,,3.0,,
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR3l_ISR,12.0,3.9,1.0,,,,3.0,,compressed
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR3l_Int,1.0,2.3,0.5,,,,3.0,,
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR3l_Low,20.0,10.0,2.0,,,,3.0,,
ATLAS-SUSY-2018-04-eff,ATLAS,13.0,139.0,SRhigh,7.0,10.2,3.3,,,,,,
ATLAS-SUSY-2018-04-eff,ATLAS,13.0,139.0,SRlow,10.0,6.0,1.7,,,,,,
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRHigh16_1_cuts,4.0,3.9,0.7,,,,,,
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRHigh16_2_cuts,3.0,3.4,0.9,,,,,,
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRHigh4_cuts,1.0,0.85,0.34,,,,,,
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRHigh8_1_cuts,0.0,2.0,0.23,,,,,,
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRHigh8_2_cuts,0.0,2.0,0.33,,,,,,
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRInt_1_cuts,24.0,22.8,3.5,,,,,,
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRInt_2_cuts,14.0,10.1,1.0,,,,,,
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRLow2_cuts,8.0,9.0,4.0,,,,,,
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRLow_1_cuts,10.0,12.8,3.4,,,,,,
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRLow_2_cuts,8.0,10.5,2.5,,,,,,
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SROffShell_1_cuts,6.0,9.2,1.7,,,,,,
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SROffShell_2_cuts,15.0,12.5,1.9,,,,,,
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRllbb_cuts,0.0,0.58,0.2,,,,,,
