analysis,experiment,sqrt_s,luminosity,signal_region,N_obs,N_exp,sigma_exp,MET,HT_or_meff,N_jets,N_leptons,N_btags,category,Delta_N,Z,z_MET,z_HT_or_meff,z_N_jets,z_N_leptons,z_N_btags,category_bonus,B_access,B_access_z
DEMO-CMS-MT2,CMS,13.0,35.9,HT1000_MET250_Nj4_Nb0,112.0,118.0,14.0,250.0,1000.0,4.0,0.0,0.0,hadronic,-6.0,-0.42857142857142855,-0.7673839653806929,-0.08330704106786307,-0.15640749675906304,-0.5773502691896258,-0.8205527240271441,0,-2.405001496424389,-0.9998263635030724
DEMO-CMS-MT2,CMS,13.0,35.9,HT1200_MET350_Nj6_Nb1,54.0,48.0,8.0,350.0,1200.0,6.0,0.0,1.0,hadronic high_MET,6.0,0.75,0.2672910441213647,0.2802145926828128,0.3798467778434391,-0.5773502691896258,-0.06311944030978026,1,1.2868827051482106,-0.03395413226591254
DEMO-CMS-MT2,CMS,13.0,35.9,HT1500_MET500_Nj8_Nb2,16.0,10.5,3.4,500.0,1500.0,8.0,0.0,2.0,high_MET high_multiplicity,5.5,1.6176470588235294,1.8193035583744508,0.8254970433088266,0.9161010524459413,-0.5773502691896258,0.6943138434075835,2,5.677865228347176,1.114816483345217
DEMO-CMS-MT2,CMS,13.0,35.9,compressed_ISR_MET300_Nj2_Nb0,33.0,28.0,6.0,300.0,650.0,2.0,0.0,0.0,compressed high_MET,5.0,0.8333333333333334,-0.25004646062966407,-0.7194699001315458,-0.6926617713615653,-0.5773502691896258,-0.8205527240271441,2,-1.0600811253395452,-0.647967754529721
DEMO-ATLAS-2L,ATLAS,13.0,139.0,SF_0J_mT2_160_200,21.0,24.0,5.0,220.0,350.0,0.0,2.0,0.0,two_lepton,-3.0,-0.6,-1.07778646823131,-1.2647523507575595,-1.2289160459640673,1.7320508075688774,-0.8205527240271441,0,-2.6599567814112035,-1.0665278678110963
DEMO-ATLAS-2L,ATLAS,13.0,139.0,SF_1J_mT2_200_260,12.0,10.0,3.0,260.0,500.0,1.0,2.0,0.0,two_lepton,2.0,0.6666666666666666,-0.663916464430487,-0.9921111254445527,-0.9607889086628163,1.7320508075688774,-0.8205527240271441,0,-1.705318414996123,-0.8167749940342943
DEMO-ATLAS-2L,ATLAS,13.0,139.0,SF_1J_mT2_gt260,6.0,3.8,1.6,360.0,700.0,1.0,2.0,0.0,two_lepton high_MET,2.2,1.375,0.3707585450715704,-0.6285894916938769,-0.9607889086628163,1.7320508075688774,-0.8205527240271441,1,0.6928782282566105,-0.1893578226676223
DEMO-ATLAS-DT,ATLAS,13.0,136.0,DT_MET250_Nj1_tracklet,7.0,5.1,1.5,250.0,450.0,1.0,0.0,0.0,disappearing_track compressed,1.9000000000000004,1.2666666666666668,-0.7673839653806929,-1.0829915338822216,-0.9607889086628163,-0.5773502691896258,-0.8205527240271441,2,-2.2090674011425007,-0.9485660066086877
DEMO-CMS-LLP,CMS,13.0,137.0,DV_MET200_Nj4_Nb1,4.0,2.2,1.1,200.0,900.0,4.0,0.0,1.0,displaced long_lived,1.7999999999999998,1.636363636363636,-1.2847214701317216,-0.265067857943201,-0.15640749675906304,-0.5773502691896258,-0.06311944030978026,2,-0.34666653433339123,-0.4613239419966128
DEMO-CMS-LLP,CMS,13.0,137.0,DV_MET400_Nj6_Nb2,3.0,1.1,0.8,400.0,1300.0,6.0,0.0,2.0,displaced long_lived high_MET,1.9,2.3749999999999996,0.7846285488723934,0.4619754095581507,0.3798467778434391,-0.5773502691896258,0.6943138434075835,3,4.743414310491941,0.8703450579884866
DEMO-ATLAS-HM,ATLAS,13.0,139.0,Nj10_MET300_Nb3,9.0,8.5,2.9,300.0,1800.0,10.0,0.0,3.0,high_multiplicity high_MET,0.5,0.1724137931034483,-0.25004646062966407,1.3707794939348403,1.4523553270484435,-0.5773502691896258,1.4517471271249474,2,5.447485218288942,1.0545443723584742
DEMO-ATLAS-HM,ATLAS,13.0,139.0,Nj12_MET500_Nb4,5.0,3.2,1.7,500.0,2200.0,12.0,0.0,4.0,high_multiplicity high_MET,1.7999999999999998,1.0588235294117647,1.8193035583744508,2.097822761436192,1.9886096016509456,-0.5773502691896258,2.209180410842311,2,9.537566063114273,2.1245929697248416
