analysis,experiment,sqrt_s,luminosity,signal_region,N_obs,N_exp,sigma_exp,MET,HT_or_meff,N_jets,N_leptons,N_btags,category,source_path,source_url,source_comment,MET_extracted,HT_or_meff_extracted,N_jets_extracted,N_btags_extracted,N_leptons_extracted,MT2_low,MT2_high,MET_threshold,HT_meff_threshold,Njets_threshold,Nb_threshold,is_compressed,is_disappearing_track,is_long_lived,is_displaced,is_high_MET_label,is_high_multiplicity_label,category_enriched,MET_enriched,HT_or_meff_enriched,N_jets_enriched,N_leptons_enriched,N_btags_enriched,Delta_N,Z,z_MET,z_HT_or_meff,z_N_jets,z_N_leptons,z_N_btags,category_bonus,B_access,B_access_z,Z_capped_3,Z_capped_5,Z_conservative,Poisson_deviance_residual,row_id,MET_value,MET_confidence,MET_source,MET_source_text,MET_match_type,MET_verified,HT_or_meff_value,HT_or_meff_confidence,HT_or_meff_source,HT_or_meff_source_text,HT_or_meff_match_type,HT_or_meff_verified,N_jets_value,N_jets_confidence,N_jets_source,N_jets_source_text,N_jets_match_type,N_jets_verified,N_leptons_value,N_leptons_confidence,N_leptons_source,N_leptons_source_text,N_leptons_match_type,N_leptons_verified,N_btags_value,N_btags_confidence,N_btags_source,N_btags_source_text,N_btags_match_type,N_btags_verified,is_compressed_value,is_compressed_confidence,is_compressed_source,is_compressed_source_text,is_compressed_match_type,is_compressed_verified,is_long_lived_value,is_long_lived_confidence,is_long_lived_source,is_long_lived_source_text,is_long_lived_match_type,is_long_lived_verified,is_displaced_value,is_displaced_confidence,is_displaced_source,is_displaced_source_text,is_displaced_match_type,is_displaced_verified,is_disappearing_track_value,is_disappearing_track_confidence,is_disappearing_track_source,is_disappearing_track_source_text,is_disappearing_track_match_type,is_disappearing_track_verified,is_high_MET_value,is_high_MET_confidence,is_high_MET_source,is_high_MET_source_text,is_high_MET_match_type,is_high_MET_verified,is_high_multiplicity_value,is_high_multiplicity_confidence,is_high_multiplicity_source,is_high_multiplicity_source_text,is_high_multiplicity_match_type,is_high_multiplicity_verified,is_reconstruction_difficult_value,is_reconstruction_difficult_confidence,is_reconstruction_difficult_source,is_reconstruction_difficult_source_text,is_reconstruction_difficult_match_type,is_reconstruction_difficult_verified,MET_verified_imputed,MET_imputed,MET_original_missing,MET_imputation_method,z_MET_verified_imputed,HT_or_meff_verified_imputed,HT_or_meff_imputed,HT_or_meff_original_missing,HT_or_meff_imputation_method,z_HT_or_meff_verified_imputed,N_jets_verified_imputed,N_jets_imputed,N_jets_original_missing,N_jets_imputation_method,z_N_jets_verified_imputed,N_leptons_verified_imputed,N_leptons_imputed,N_leptons_original_missing,N_leptons_imputation_method,z_N_leptons_verified_imputed,N_btags_verified_imputed,N_btags_imputed,N_btags_original_missing,N_btags_imputation_method,z_N_btags_verified_imputed,is_compressed_verified_imputed,is_compressed_imputed,is_compressed_imputation_method,is_long_lived_verified_imputed,is_long_lived_imputed,is_long_lived_imputation_method,is_displaced_verified_imputed,is_displaced_imputed,is_displaced_imputation_method,is_disappearing_track_verified_imputed,is_disappearing_track_imputed,is_disappearing_track_imputation_method,is_high_MET_verified_imputed,is_high_MET_imputed,is_high_MET_imputation_method,is_high_multiplicity_verified_imputed,is_high_multiplicity_imputed,is_high_multiplicity_imputation_method,is_reconstruction_difficult_verified_imputed,is_reconstruction_difficult_imputed,is_reconstruction_difficult_imputation_method,R_missing_verified_imputed,R_lifetime_verified_imputed,R_displacement_verified_imputed,R_compression_verified_imputed,R_multiplicity_verified_imputed,R_reconstruction_verified_imputed,B_access_verified_imputed,B_access_verified_imputed_z,imputation_fraction,metadata_completeness_score
ATLAS-SUSY-2015-02-eff,ATLAS,13,3.2,SR1,12.0,5.5,0.72,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR1/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR1/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,6.5,9.02777777777778,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.1381000575408872,3.0,5.0,2.453546529689228,2.3924475712520428,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,,0,1,,0.0,,0,1,,0.0,,0,1,,0.0,,0,1,,0.0,,0,1,,0.0,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0.0,0,,0.0,0,,0.0,0,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
ATLAS-SUSY-2015-02-eff,ATLAS,13,3.2,SR2,1.0,1.25,0.26,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR2/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR2/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,-0.25,-0.9615384615384616,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.1381000575408872,-0.9615384615384616,-0.9615384615384616,-0.1642180033999401,-0.2317604309876485,1,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,,0,1,,0.0,,0,1,,0.0,,0,1,,0.0,,0,1,,0.0,,0,1,,0.0,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0.0,0,,0.0,0,,0.0,0,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
ATLAS-SUSY-2015-02-eff,ATLAS,13,3.2,SR3,1.0,1.03,0.18,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR3/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR3/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,-0.03,-0.1666666666666668,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.1381000575408872,-0.1666666666666668,-0.1666666666666668,-0.0208898251408257,-0.0297051429370617,2,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,,0,1,,0.0,,0,1,,0.0,,0,1,,0.0,,0,1,,0.0,,0,1,,0.0,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0.0,0,,0.0,0,,0.0,0,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR2jl,263.0,283.0,24.0,,,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jl/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jl/dataInfo.txt,,,,2.0,,,,,,,2.0,,0,0,0,0,0,0,,,,2.0,,,-20.0,-0.8333333333333334,0.0,0.0,-0.4052070804636741,0.0,0.0,0,-0.4052070804636741,-0.4011079268425264,-0.8333333333333334,-0.8333333333333334,-0.6819943394704735,-1.2033090896196166,3,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,2.0,LOW,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jl/dataInfo.txt,label/comment-derived value=2,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,,0,1,,0.0,,0,1,,0.0,2.0,1,1,label_or_smodels_proxy,-0.40520708046367415,,0,1,,0.0,,0,1,,0.0,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0.0,0,,0.0,0,,0.0,0,,0.0,0,0,0,-0.40520708046367415,0.0,-0.40520708046367415,-0.3217051030671486,0.4166666666666667,0.0
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR2jm,191.0,191.0,21.0,,,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jm/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jm/dataInfo.txt,,,,2.0,,,,,,,2.0,,0,0,0,0,0,0,,,,2.0,,,0.0,0.0,0.0,0.0,-0.4052070804636741,0.0,0.0,0,-0.4052070804636741,-0.4011079268425264,0.0,0.0,0.0,0.0,4,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,2.0,LOW,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jm/dataInfo.txt,label/comment-derived value=2,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,,0,1,,0.0,,0,1,,0.0,2.0,1,1,label_or_smodels_proxy,-0.40520708046367415,,0,1,,0.0,,0,1,,0.0,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0.0,0,,0.0,0,,0.0,0,,0.0,0,0,0,-0.40520708046367415,0.0,-0.40520708046367415,-0.3217051030671486,0.4166666666666667,0.0
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR2jt,26.0,23.0,4.0,,,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jt/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jt/dataInfo.txt,,,,2.0,,,,,,,2.0,,0,0,0,0,0,0,,,,2.0,,,3.0,0.75,0.0,0.0,-0.4052070804636741,0.0,0.0,0,-0.4052070804636741,-0.4011079268425264,0.75,0.75,0.4743416490252569,0.6126342700186451,5,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,2.0,LOW,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jt/dataInfo.txt,label/comment-derived value=2,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,,0,1,,0.0,,0,1,,0.0,2.0,1,1,label_or_smodels_proxy,-0.40520708046367415,,0,1,,0.0,,0,1,,0.0,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0.0,0,,0.0,0,,0.0,0,,0.0,0,0,0,-0.40520708046367415,0.0,-0.40520708046367415,-0.3217051030671486,0.4166666666666667,0.0
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR4jt,7.0,4.1,1.1,,,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR4jt/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR4jt/dataInfo.txt,,,,4.0,,,,,,,4.0,,0,0,0,0,0,0,,,,4.0,,,2.9000000000000004,2.6363636363636367,0.0,0.0,-0.3127541045869981,0.0,0.0,0,-0.3127541045869981,-0.3410994487870689,2.6363636363636367,2.6363636363636367,1.154471771554148,1.299586262943217,6,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,4.0,LOW,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR4jt/dataInfo.txt,label/comment-derived value=4,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,,0,1,,0.0,,0,1,,0.0,4.0,1,1,label_or_smodels_proxy,-0.31275410458699815,,0,1,,0.0,,0,1,,0.0,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0.0,0,,0.0,0,,0.0,0,,0.0,0,0,0,-0.31275410458699815,0.0,-0.31275410458699815,-0.2483041296704436,0.4166666666666667,0.0
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR5j,7.0,13.2,2.2,,,5.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR5j/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR5j/dataInfo.txt,,,,5.0,,,,,,,5.0,,0,0,0,0,0,0,,,,5.0,,,-6.199999999999999,-2.818181818181817,0.0,0.0,-0.2665276166486601,0.0,0.0,0,-0.2665276166486601,-0.3110952097593402,-2.818181818181817,-2.818181818181817,-1.4208826703937274,-1.876088076952101,7,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,5.0,LOW,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR5j/dataInfo.txt,5j,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,,0,1,,0.0,,0,1,,0.0,5.0,1,1,label_or_smodels_proxy,-0.26652761664866015,,0,1,,0.0,,0,1,,0.0,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0.0,0,,0.0,0,,0.0,0,,0.0,0,0,0,-0.26652761664866015,0.0,-0.26652761664866015,-0.21160364297209108,0.4166666666666667,0.0
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR6jm,4.0,6.9,1.5,,,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR6jm/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR6jm/dataInfo.txt,,,,6.0,,,,,,,6.0,,0,0,0,0,0,0,,,,6.0,,,-2.9000000000000004,-1.9333333333333336,0.0,0.0,-0.2203011287103221,0.0,0.0,0,-0.2203011287103221,-0.2810909707316114,-1.9333333333333336,-1.9333333333333336,-0.9102589898327996,-1.19924292623864,8,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,6.0,LOW,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR6jm/dataInfo.txt,label/comment-derived value=6,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,,0,1,,0.0,,0,1,,0.0,6.0,1,1,label_or_smodels_proxy,-0.22030112871032215,,0,1,,0.0,,0,1,,0.0,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0.0,0,,0.0,0,,0.0,0,,0.0,0,0,0,-0.22030112871032215,0.0,-0.22030112871032215,-0.1749031562737386,0.4166666666666667,0.0
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR6jt,3.0,4.2,1.2,,,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR6jt/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR6jt/dataInfo.txt,,,,6.0,,,,,,,6.0,,0,0,0,0,0,0,,,,6.0,,,-1.2000000000000002,-1.0000000000000002,0.0,0.0,-0.2203011287103221,0.0,0.0,0,-0.2203011287103221,-0.2810909707316114,-1.0000000000000002,-1.0000000000000002,-0.4656903154237997,-0.6173868967452444,9,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,6.0,LOW,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR6jt/dataInfo.txt,label/comment-derived value=6,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,0.0,UNAVAILABLE,,,label_or_unavailable,0,,0,1,,0.0,,0,1,,0.0,6.0,1,1,label_or_smodels_proxy,-0.22030112871032215,,0,1,,0.0,,0,1,,0.0,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0,1,label_or_smodels_proxy,0.0,0,,0.0,0,,0.0,0,,0.0,0,0,0,-0.22030112871032215,0.0,-0.22030112871032215,-0.1749031562737386,0.4166666666666667,0.0
