analysis,experiment,sqrt_s,luminosity,signal_region,N_obs,N_exp,sigma_exp,MET,HT_or_meff,N_jets,N_leptons,N_btags,category
DEMO-CMS-MT2,CMS,13,35.9,HT1000_MET250_Nj4_Nb0,112,118,14,250,1000,4,0,0,hadronic
DEMO-CMS-MT2,CMS,13,35.9,HT1200_MET350_Nj6_Nb1,54,48,8,350,1200,6,0,1,hadronic high_MET
DEMO-CMS-MT2,CMS,13,35.9,HT1500_MET500_Nj8_Nb2,16,10.5,3.4,500,1500,8,0,2,high_MET high_multiplicity
DEMO-CMS-MT2,CMS,13,35.9,compressed_ISR_MET300_Nj2_Nb0,33,28,6,300,650,2,0,0,compressed high_MET
DEMO-ATLAS-2L,ATLAS,13,139,SF_0J_mT2_160_200,21,24,5,220,350,0,2,0,two_lepton
DEMO-ATLAS-2L,ATLAS,13,139,SF_1J_mT2_200_260,12,10,3,260,500,1,2,0,two_lepton
DEMO-ATLAS-2L,ATLAS,13,139,SF_1J_mT2_gt260,6,3.8,1.6,360,700,1,2,0,two_lepton high_MET
DEMO-ATLAS-DT,ATLAS,13,136,DT_MET250_Nj1_tracklet,7,5.1,1.5,250,450,1,0,0,disappearing_track compressed
DEMO-CMS-LLP,CMS,13,137,DV_MET200_Nj4_Nb1,4,2.2,1.1,200,900,4,0,1,displaced long_lived
DEMO-CMS-LLP,CMS,13,137,DV_MET400_Nj6_Nb2,3,1.1,0.8,400,1300,6,0,2,displaced long_lived high_MET
DEMO-ATLAS-HM,ATLAS,13,139,Nj10_MET300_Nb3,9,8.5,2.9,300,1800,10,0,3,high_multiplicity high_MET
DEMO-ATLAS-HM,ATLAS,13,139,Nj12_MET500_Nb4,5,3.2,1.7,500,2200,12,0,4,high_multiplicity high_MET
