analysis,experiment,sqrt_s,luminosity,signal_region,N_obs,N_exp,sigma_exp,MET,HT_or_meff,N_jets,N_leptons,N_btags,category,source_path,source_url
ATLAS-SUSY-2015-02-eff,ATLAS,13,3.2,SR1,12.0,5.5,0.72,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR1/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR1/dataInfo.txt
ATLAS-SUSY-2015-02-eff,ATLAS,13,3.2,SR2,1.0,1.25,0.26,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR2/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR2/dataInfo.txt
ATLAS-SUSY-2015-02-eff,ATLAS,13,3.2,SR3,1.0,1.03,0.18,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR3/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR3/dataInfo.txt
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR2jl,263.0,283.0,24.0,,,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jl/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jl/dataInfo.txt
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR2jm,191.0,191.0,21.0,,,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jm/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jm/dataInfo.txt
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR2jt,26.0,23.0,4.0,,,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jt/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jt/dataInfo.txt
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR4jt,7.0,4.1,1.1,,,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR4jt/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR4jt/dataInfo.txt
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR5j,7.0,13.2,2.2,,,5.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR5j/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR5j/dataInfo.txt
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR6jm,4.0,6.9,1.5,,,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR6jm/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR6jm/dataInfo.txt
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR6jt,3.0,4.2,1.2,,,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR6jt/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR6jt/dataInfo.txt
ATLAS-SUSY-2016-06-eff,ATLAS,13,36.1,SR_EW,9.0,11.8,3.1,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-06-eff/SR_EW/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-06-eff/SR_EW/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_1200,611.0,526.0,31.0,,1200.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_1200/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_1200/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_1600,216.0,228.0,19.0,,1600.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_1600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_1600/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_2000,73.0,90.0,10.0,,2000.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2000/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2000/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_2100,190.0,153.0,14.0,,2100.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2100/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2100/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_2400,34.0,42.0,4.0,,2400.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2400/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2400/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_2800,19.0,17.3,2.0,,2800.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2800/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2800/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_3600,5.0,3.6,0.9,,3600.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_3600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_3600/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,3j_Meff_1300,429.0,390.0,29.0,,1300.0,3.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/3j_Meff_1300/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/3j_Meff_1300/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_1000,142.0,124.0,12.0,,1000.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1000/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1000/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_1400,199.0,182.0,16.0,,1400.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1400/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1400/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_1800,55.0,49.0,7.0,,1800.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1800/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1800/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_2200,24.0,16.5,2.7,,2200.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_2200/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_2200/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_2600,4.0,5.8,2.0,,2600.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_2600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_2600/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_3000,2.0,2.0,0.6,,3000.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_3000/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_3000/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,5j_Meff_1600,135.0,128.0,14.0,,1600.0,5.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_1600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_1600/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,5j_Meff_1700,49.0,43.0,5.0,,1700.0,5.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_1700/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_1700/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,5j_Meff_2000,59.0,65.0,7.0,,2000.0,5.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_2000/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_2000/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,5j_Meff_2600,10.0,9.4,2.1,,2600.0,5.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_2600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_2600/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,6j_Meff_1200,276.0,274.0,32.0,,1200.0,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_1200/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_1200/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,6j_Meff_1800,9.0,5.1,1.8,,1800.0,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_1800/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_1800/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,6j_Meff_2200,3.0,3.1,1.3,,2200.0,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_2200/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_2200/dataInfo.txt
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,6j_Meff_2600,1.0,2.2,1.4,,2600.0,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_2600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_2600/dataInfo.txt
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,bWN,68.0,71.0,16.0,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/bWN/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/bWN/dataInfo.txt
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,bffN,70.0,60.5,6.1,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/bffN/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/bffN/dataInfo.txt
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,tN_diag_high,19.0,18.3,2.2,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_high/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_high/dataInfo.txt
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,tN_diag_low,34.0,30.3,5.9,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_low/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_low/dataInfo.txt
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,tN_diag_med,115.0,115.0,31.0,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_med/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_med/dataInfo.txt
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,tN_high,8.0,3.8,1.0,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_high/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_high/dataInfo.txt
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,tN_med,50.0,36.3,6.6,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_med/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_med/dataInfo.txt
ATLAS-SUSY-2016-24-eff,ATLAS,13,36.1,SR2-SF-loose,153.0,133.0,22.0,,,,2.0,,,13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-SF-loose/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-SF-loose/dataInfo.txt
ATLAS-SUSY-2016-24-eff,ATLAS,13,36.1,SR2-SF-tight,9.0,9.8,2.9,,,,2.0,,,13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-SF-tight/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-SF-tight/dataInfo.txt
ATLAS-SUSY-2016-24-eff,ATLAS,13,36.1,SR2-high,0.0,1.6,1.6,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-high/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-high/dataInfo.txt
ATLAS-SUSY-2016-24-eff,ATLAS,13,36.1,SR2-int,2.0,4.1,2.6,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-int/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-int/dataInfo.txt
ATLAS-SUSY-2016-24-eff,ATLAS,13,36.1,SR2-low,11.0,4.2,3.4,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-low/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-low/dataInfo.txt
ATLAS-SUSY-2016-24-eff,ATLAS,13,36.1,WZ-0Ja,21.0,21.7,2.9,,,0.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/WZ-0Ja/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/WZ-0Ja/dataInfo.txt
ATLAS-SUSY-2016-24-eff,ATLAS,13,36.1,WZ-0Jb,1.0,2.7,0.5,,,0.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/WZ-0Jb/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/WZ-0Jb/dataInfo.txt
ATLAS-SUSY-2016-24-eff,ATLAS,13,36.1,WZ-0Jc,2.0,1.6,0.3,,,0.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/WZ-0Jc/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/WZ-0Jc/dataInfo.txt
