outcome,feature_set,model,scheme,n,r2,mae,rmse,corr
abs_Z_capped_3,baseline_metadata,ols,GroupKFold_by_analysis,752,0.06263898935650558,0.8129670553493578,0.9590162258551007,0.25642767561194235
abs_Z_capped_3,baseline_metadata,ols,ATLAS_train_CMS_test,197,-0.6206440573390009,0.8736072653621642,0.9970980948063778,0.11319491834164352
abs_Z_capped_3,baseline_metadata,ols,CMS_train_ATLAS_test,555,-0.12221789078032885,0.8651162216500355,1.0855397289098663,0.20148624128957326
abs_Z_capped_3,baseline_metadata,ridge,GroupKFold_by_analysis,752,0.06276772369684169,0.8130504533051178,0.9589503693926785,0.25462220134185304
abs_Z_capped_3,baseline_metadata,ridge,ATLAS_train_CMS_test,197,-0.5182539423795283,0.8454862066881367,0.9650865757107578,0.15415292252117896
abs_Z_capped_3,baseline_metadata,ridge,CMS_train_ATLAS_test,555,-0.12661843691484065,0.865534004099188,1.0876660066509538,0.2014466655579461
abs_Z_capped_3,baseline_metadata,elasticnet,GroupKFold_by_analysis,752,0.05872000520351295,0.8144318450113406,0.9610188957050102,0.24647047126290297
abs_Z_capped_3,baseline_metadata,elasticnet,ATLAS_train_CMS_test,197,-0.5598850384959193,0.8595860351116728,0.9782286141211202,0.1180670146577979
abs_Z_capped_3,baseline_metadata,elasticnet,CMS_train_ATLAS_test,555,-0.12587309126723212,0.8654316340142209,1.0873061593304032,0.20142479809216238
abs_Z_capped_3,baseline_metadata,huber,GroupKFold_by_analysis,752,0.04243799920955715,0.8054249234019258,0.9692949818497085,0.240973427237495
abs_Z_capped_3,baseline_metadata,huber,ATLAS_train_CMS_test,197,-0.11757278028868612,0.6717494525595087,0.8280031207757141,0.02605656811232726
abs_Z_capped_3,baseline_metadata,huber,CMS_train_ATLAS_test,555,-0.7915812118108845,1.0408404562972953,1.3715933731804546,0.20097499545083408
abs_Z_capped_3,baseline_metadata,forest,GroupKFold_by_analysis,752,0.04742115055365903,0.8140767295151137,0.9667695871456654,0.23274888851030745
abs_Z_capped_3,baseline_metadata,forest,ATLAS_train_CMS_test,197,-0.7134150351942603,0.9100074136323201,1.0252395531302816,0.1105945119759667
abs_Z_capped_3,baseline_metadata,forest,CMS_train_ATLAS_test,555,-0.1731449753018035,0.8709039323400884,1.1098977497364253,0.20715142568387382
abs_Z_capped_3,current_B_rare,ols,GroupKFold_by_analysis,752,0.009582146130837077,0.8250507443274951,0.9857839499301797,0.2145194200247101
abs_Z_capped_3,current_B_rare,ols,ATLAS_train_CMS_test,197,-0.562003890622468,0.8230180239012481,0.9788927715241537,0.053207445449048756
abs_Z_capped_3,current_B_rare,ols,CMS_train_ATLAS_test,555,-0.06572393192680148,0.8453434223600642,1.057863146746415,0.24037880904055425
abs_Z_capped_3,current_B_rare,ridge,GroupKFold_by_analysis,752,0.02863226926238993,0.8164909522289886,0.9762574218571151,0.21893778513632112
abs_Z_capped_3,current_B_rare,ridge,ATLAS_train_CMS_test,197,-0.26903446348781834,0.7528600320469556,0.8823294479589293,0.1548804605262264
abs_Z_capped_3,current_B_rare,ridge,CMS_train_ATLAS_test,555,-0.07318513689790151,0.8470607411302756,1.0615597734906719,0.23972114000894654
abs_Z_capped_3,current_B_rare,elasticnet,GroupKFold_by_analysis,752,0.01071355024862608,0.8253035597734386,0.9852207337485244,0.20948500328438563
abs_Z_capped_3,current_B_rare,elasticnet,ATLAS_train_CMS_test,197,-0.40024800030183605,0.8186178488225565,0.9268224532028588,0.17804349707159872
abs_Z_capped_3,current_B_rare,elasticnet,CMS_train_ATLAS_test,555,-0.06770247711695565,0.8458618985197242,1.058844667118252,0.24017992692538806
abs_Z_capped_3,current_B_rare,huber,GroupKFold_by_analysis,752,-0.07052596872072003,0.829787779365195,1.0248755111329346,0.17401152822339802
abs_Z_capped_3,current_B_rare,huber,ATLAS_train_CMS_test,197,-0.7329021103666817,0.778964312921554,1.031053216002764,0.03490449935295007
abs_Z_capped_3,current_B_rare,huber,CMS_train_ATLAS_test,555,-0.6862944682551744,1.029072948309592,1.3306806331071999,0.2304136264856615
abs_Z_capped_3,current_B_rare,forest,GroupKFold_by_analysis,752,0.014874317929614689,0.8243028988689762,0.9831467167201385,0.17994945726873385
abs_Z_capped_3,current_B_rare,forest,ATLAS_train_CMS_test,197,-0.4171011378517149,0.8244622247992885,0.9323833065395263,0.2515256283532827
abs_Z_capped_3,current_B_rare,forest,CMS_train_ATLAS_test,555,-0.14005416347529875,0.8702506475951592,1.0941323803184455,0.18236047227424249
abs_Z_capped_3,label_B_rare,ols,GroupKFold_by_analysis,752,-0.5525728137268024,0.8764978172050378,1.2342368284230645,0.12105504305910969
abs_Z_capped_3,label_B_rare,ols,ATLAS_train_CMS_test,197,-5.295745850527103,1.304848471599678,1.9652493434480507,0.2072333469561483
abs_Z_capped_3,label_B_rare,ols,CMS_train_ATLAS_test,555,-3330.9347780840367,20.29135281391497,59.15008516580085,0.19687470841577806
