dataset,outcome,n,n_analyses,coef,p_value,cluster_p_value,r2,adj_r2,note
pooled,abs_Z_capped_3,752,40,0.07538481401003416,0.8102469726228501,0.8959970642234025,0.18795563093719259,0.13985145110554542,exploratory proxy B for rare rows
ATLAS,abs_Z_capped_3,555,32,2.124980821099294,0.001864670161852039,1.8419076394329554e-06,0.17529011240096837,0.12136677359641634,exploratory proxy B for rare rows
CMS,abs_Z_capped_3,197,8,3.9041327480675267,0.3864220138692456,1.960538263724122e-15,0.12306669105745083,0.07591973896376547,exploratory proxy B for rare rows
pooled,Z_capped_3,752,40,-0.4063163715747421,0.4336354912983392,0.017784051312710367,0.13864631581618758,0.08762113283209727,exploratory proxy B for rare rows
ATLAS,Z_capped_3,555,32,-0.3161928604211148,0.784201335824831,0.6029095517171976,0.14702897065331477,0.0912577879652623,exploratory proxy B for rare rows
CMS,Z_capped_3,197,8,18.65155641227636,0.006325244268472234,3.161004299628047e-24,0.12931593948151265,0.08250496848589506,exploratory proxy B for rare rows
pooled,abs_Z_conservative,752,40,0.22686095314910426,0.28372873473311533,0.6855899112217385,0.12671010781352943,0.07497784339627733,exploratory proxy B for rare rows
ATLAS,abs_Z_conservative,555,32,2.0589972676568986,5.313158046803402e-06,0.00033256053328999623,0.16849852125415787,0.11413111687462207,exploratory proxy B for rare rows
CMS,abs_Z_conservative,197,8,3.9235949325816026,0.22146871707876242,7.75270439783374e-16,0.0852705248753316,0.036091520836371016,exploratory proxy B for rare rows
pooled,abs_Poisson,752,40,0.28739081148015,0.3129272162848726,0.6512486128847729,0.10638787594003218,0.05345175575594385,exploratory proxy B for rare rows
ATLAS,abs_Poisson,555,32,2.4465558005608483,1.6500588032919217e-05,0.00024785263818331876,0.16693679582630883,0.11246727863033668,exploratory proxy B for rare rows
CMS,abs_Poisson,197,8,4.479799378962867,0.40141324282472823,2.5049059615356266e-13,0.042870821545653914,-0.008587736435762494,exploratory proxy B for rare rows
