analysis,id,url,arxiv,publication,publicationDOI,lumi,sqrts,globalInfo_available,hepdata_search_url,paper_or_aux_url,hepdata_matches_json,hepdata_match_count,hepdata_first_record_url
ATLAS-SUSY-2015-02-eff,ATLAS-SUSY-2015-02,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2015-02/,https://arxiv.org/abs/1606.03903,Phys. Rev. D 94 (2016) 052009,https://doi.org/10.1103/PhysRevD.94.052009,3.2/fb,13*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1606.03903,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2015-02/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=1606.03903&format=json&size=5"", ""query"": ""1606.03903""}]",0,
ATLAS-SUSY-2015-06-eff,ATLAS-SUSY-2015-06,http://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2015-06/,https://arxiv.org/abs/1605.03814,Eur. Phys. J. C 76 (2016) 392,https://doi.org/10.1140/epjc/s10052-016-4184-8,3.2/fb,13*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1605.03814,http://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2015-06/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=1605.03814&format=json&size=5"", ""query"": ""1605.03814""}]",0,
ATLAS-SUSY-2016-06-eff,ATLAS-SUSY-2016-06,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-06/,https://arxiv.org/abs/1712.02118,JHEP 06 (2018) 022,https://doi.org/10.1007/JHEP06(2018)022,36.1/fb,13*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1712.02118,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-06/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=1712.02118&format=json&size=5"", ""query"": ""1712.02118""}]",0,
ATLAS-SUSY-2016-07-eff,ATLAS-SUSY-2016-07,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-07/,https://arxiv.org/abs/1712.02332,"Phys. Rev. D 97, 112001 (2018)",https://doi.org/10.1103/PhysRevD.97.112001,36.1/fb,13*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1712.02332,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-07/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=1712.02332&format=json&size=5"", ""query"": ""1712.02332""}]",0,
ATLAS-SUSY-2016-16-eff,ATLAS-SUSY-2016-16,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-16/,https://arxiv.org/abs/1711.11520,JHEP 06 (2018) 108,https://doi.org/10.1007/JHEP06(2018)108,36/fb,13*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1711.11520,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-16/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=1711.11520&format=json&size=5"", ""query"": ""1711.11520""}]",0,
ATLAS-SUSY-2016-24-eff,ATLAS-SUSY-2016-24,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-24/,https://arxiv.org/abs/1803.02762,Eur. Phys. J. C 78 (2018) 995,https://doi.org/10.1140/epjc/s10052-018-6423-7,36.1/fb,13*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1803.02762,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-24/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=1803.02762&format=json&size=5"", ""query"": ""1803.02762""}]",0,
ATLAS-SUSY-2016-27-eff,ATLAS-SUSY-2016-27,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-27/,https://arxiv.org/abs/1802.03158,Phys. Rev. D 97 (2018) 092006,https://doi.org/10.1103/PhysRevD.97.092006,36.1/fb,13*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1802.03158,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-27/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=1802.03158&format=json&size=5"", ""query"": ""1802.03158""}]",0,
ATLAS-SUSY-2016-32-eff-trim,ATLAS-SUSY-2016-32,http://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-32/,https://arxiv.org/abs/1902.01636,Phys. Rev. D 99 (2019) 092007,https://doi.org/10.1103/PhysRevD.99.092007,31.6/fb,13*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1902.01636,http://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-32/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=1902.01636&format=json&size=5"", ""query"": ""1902.01636""}]",0,
ATLAS-SUSY-2017-03-eff,ATLAS-SUSY-2017-03,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2017-03/,https://arxiv.org/abs/1806.02293,Phys. Rev. D 98 (2018) 092012,,36.1/fb,13*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1806.02293,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2017-03/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=1806.02293&format=json&size=5"", ""query"": ""1806.02293""}]",0,
ATLAS-SUSY-2018-04-eff,ATLAS-SUSY-2018-04,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-04/,https://arxiv.org/abs/1911.06660,Phys. Rev. D 101 (2020) 032009,https://doi.org/10.1103/PhysRevD.101.032009,139.0/fb,13*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1911.06660,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-04/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=1911.06660&format=json&size=5"", ""query"": ""1911.06660""}]",0,
ATLAS-SUSY-2018-05-ewk-eff,ATLAS-SUSY-2018-05-ewk,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-05/,https://arxiv.org/abs/2204.13072,Eur. Phys. J. C 83 (2023) 515,https://doi.org/10.1140/epjc/s10052-023-11434-w,139.0/fb,13*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/2204.13072,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-05/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=2204.13072&format=json&size=5"", ""query"": ""2204.13072""}]",0,
ATLAS-SUSY-2018-05-strong-eff,ATLAS-SUSY-2018-05-strong,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-05/,https://arxiv.org/abs/2204.13072,Eur. Phys. J. C 83 (2023) 515,https://doi.org/10.1140/epjc/s10052-023-11434-w,139.0/fb,13*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/2204.13072,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-05/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=2204.13072&format=json&size=5"", ""query"": ""2204.13072""}]",0,
ATLAS-SUSY-2018-06-eff,ATLAS-SUSY-2018-06,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-06/,https://arxiv.org/abs/1912.08479,Phys. Rev. D 101 (2020) 072001,https://doi.org/10.1103/PhysRevD.101.072001,139/fb,13*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1912.08479,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-06/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=1912.08479&format=json&size=5"", ""query"": ""1912.08479""}]",0,
ATLAS-SUSY-2018-08-eff,ATLAS-SUSY-2018-08,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-08/,https://arxiv.org/abs/2102.01444,JHEP 04 (2021) 165,https://doi.org/10.1007/JHEP04(2021)165,139/fb,13.0*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/2102.01444,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-08/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=2102.01444&format=json&size=5"", ""query"": ""2102.01444""}]",0,
ATLAS-SUSY-2018-10-eff,ATLAS-SUSY-2018-10,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-10/,https://arxiv.org/abs/2101.01629,Eur. Phys. J. C 81 (2021) 600,https://doi.org/10.1140/epjc/s10052-021-09344-w,139./fb,13.0*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/2101.01629,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-10/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=2101.01629&format=json&size=5"", ""query"": ""2101.01629""}]",0,
ATLAS-SUSY-2018-12-eff,ATLAS-SUSY-2018-12,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-12/,https://arxiv.org/abs/2004.14060,Eur. Phys. J. C 80 (2020) 737,https://doi.org/10.1140/epjc/s10052-020-8102-8,139./fb,13.0*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/2004.14060,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-12/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=2004.14060&format=json&size=5"", ""query"": ""2004.14060""}]",0,
ATLAS-SUSY-2018-13-eff,ATLAS-SUSY-2018-13,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-13/,https://arxiv.org/abs/2301.13866,JHEP 06 (2023) 200,https://doi.org/10.1007/JHEP06(2023)200,139.0/fb,13*TeV,True,https://www.hepdata.net/search/?q=https://arxiv.org/abs/2301.13866,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-13/,"[{""error"": ""403 Client Error: Forbidden for url: https://www.hepdata.net/search/?q=2301.13866&format=json&size=5"", ""query"": ""2301.13866""}]",0,
