dataset,model,outcome,n,term,beta,std_error,p_value,cluster_p_value,r2,note
pooled,core,Z,115,B_access_verified_z,-0.19554459083978437,0.10640799616713828,0.06873565291072942,0.012151885026299516,0.029018541314931534,
pooled,core,Z_capped_3,115,B_access_verified_z,-0.19649616128923258,0.09823488277789445,0.047869524992001734,0.02066142185539204,0.0341969069717869,
pooled,core,Z_capped_5,115,B_access_verified_z,-0.1961973903374919,0.10515832934254267,0.06467207673213259,0.013373784284051162,0.029884373386244167,
pooled,core,Z_conservative,115,B_access_verified_z,-0.1606338485326165,0.06245017022057729,0.01140255665639558,0.011217681550868783,0.05531169549093251,
pooled,core,Poisson_deviance_residual,115,B_access_verified_z,-0.2888415088259117,0.1186679787237037,0.016497711054061698,0.0002432250793183979,0.049817366410686015,
pooled,core,Delta_N,115,B_access_verified_z,-9.349129322365394,8.18576339670654,0.25581819680484713,0.11038518446933598,0.011411976292430182,
ATLAS,core,Z,36,B_access_verified_z,-10693.940277211103,24963.49765353308,0.6710739726791005,,0.005368438208766424,
ATLAS,core,Z_capped_3,36,B_access_verified_z,-2458.0553917712205,21686.43312642223,0.9104234336696632,,0.000377714875190005,
ATLAS,core,Z_capped_5,36,B_access_verified_z,-9598.630778380593,24461.35069222943,0.6972119940674066,,0.004508337442181598,
ATLAS,core,Z_conservative,36,B_access_verified_z,-6637.265580164782,10819.487518898182,0.5436582591360479,,0.010947262775487188,
ATLAS,core,Poisson_deviance_residual,36,B_access_verified_z,-11546.912582683768,14277.596049519027,0.42428596938291907,,0.018874148892415454,
ATLAS,core,Delta_N,36,B_access_verified_z,-25175.267557845134,51168.024162635396,0.6258729344404859,,0.007069534439215652,
CMS,core,Z,79,B_access_verified_z,-0.20110607263022234,0.08554109573848581,0.02128342993290826,0.13959499171342243,0.06697364527552319,
CMS,core,Z_capped_3,79,B_access_verified_z,-0.1980379623034596,0.08503263944232317,0.02248548463455229,0.13876747978592752,0.06580691069269795,
CMS,core,Z_capped_5,79,B_access_verified_z,-0.20110607263022234,0.08554109573848581,0.02128342993290826,0.13959499171342243,0.06697364527552319,
CMS,core,Z_conservative,79,B_access_verified_z,-0.16241858864810352,0.06347763603471929,0.012468929517844975,0.11030639887552839,0.07836102065601969,
CMS,core,Poisson_deviance_residual,79,B_access_verified_z,-0.2861020680080885,0.13394914116481785,0.035865463136919615,0.003292920177907225,0.0559337423492039,
CMS,core,Delta_N,79,B_access_verified_z,-8.58752185984129,10.014734020727872,0.3938359259388806,0.42463041115437244,0.009458857136925736,
