dataset,model,outcome,n,term,beta,std_error,p_value,cluster_p_value,r2,note
pooled,core,Z,752,B_access_verified_imputed_z,-0.13370696014053085,0.12407419199998564,0.28154312032824536,0.0006838032734123012,0.013257752230944497,
pooled,core,Z_capped_3,752,B_access_verified_imputed_z,-0.11326190131654316,0.07161599176971832,0.1141826203086053,0.00010833176425758253,0.0100620505669059,
pooled,core,Z_capped_5,752,B_access_verified_imputed_z,-0.12147656374070294,0.08722618149525954,0.16413591822555804,0.0001899830809566443,0.011184394037161982,
pooled,core,Z_conservative,752,B_access_verified_imputed_z,-0.0868163229671716,0.04168794087366077,0.03763346754037447,5.819023787999961e-06,0.020584856578807376,
pooled,core,Poisson_deviance_residual,752,B_access_verified_imputed_z,-0.15645122138926695,0.05824475185136423,0.007389504860576152,7.852910275146477e-12,0.021768700982562006,
pooled,core,Delta_N,752,B_access_verified_imputed_z,-5.3794484316316895,1.6517597519748102,0.0011775723158017686,0.011982246708663956,0.028929642322020332,
ATLAS,core,Z,555,B_access_verified_imputed_z,-0.7670295540698806,0.6213728953835612,0.2175759736125952,0.24460454579917154,0.01655829082194127,
ATLAS,core,Z_capped_3,555,B_access_verified_imputed_z,-0.2865579919193512,0.3904845287645929,0.4633508657011215,0.5083006969831854,0.008974214479929299,
ATLAS,core,Z_capped_5,555,B_access_verified_imputed_z,-0.5042198990388278,0.48259137765054877,0.2965654909302624,0.3416375028625088,0.011604398892506973,
ATLAS,core,Z_conservative,555,B_access_verified_imputed_z,-0.1353563622616355,0.22019730037672564,0.5390033687816931,0.6150288510690123,0.019885797858055443,
ATLAS,core,Poisson_deviance_residual,555,B_access_verified_imputed_z,-0.10311212741385302,0.29013801835840014,0.7224335030512108,0.7785041145728152,0.02032679650395608,
ATLAS,core,Delta_N,555,B_access_verified_imputed_z,-0.4070300312925791,2.2484752057925,0.8564145864954735,0.8076171802124648,0.002342695015724594,
CMS,core,Z,197,B_access_verified_imputed_z,-0.10620312139483122,0.13160479095984245,0.4206683536451039,0.002579768060756023,0.015735841572246945,
CMS,core,Z_capped_3,197,B_access_verified_imputed_z,-0.10526417237838509,0.054452489684230186,0.05468248293444291,0.002439920211862723,0.03431788352432741,
CMS,core,Z_capped_5,197,B_access_verified_imputed_z,-0.10662773253058017,0.0599069473858552,0.07666753492787032,0.0024714689625701405,0.03376620955817489,
CMS,core,Z_conservative,197,B_access_verified_imputed_z,-0.0865339467426207,0.03685762626101094,0.019897778524339653,0.0007527152967818259,0.045916572689447155,
CMS,core,Poisson_deviance_residual,197,B_access_verified_imputed_z,-0.16039110157370623,0.061899280881277184,0.010296013201659173,4.488423079659332e-06,0.05546005383992225,
CMS,core,Delta_N,197,B_access_verified_imputed_z,-5.664814219497433,3.2464923517482402,0.08259345982204777,0.049731685451090066,0.0309553612228447,
